Strategy,TrackScope,K,Races,Wagered,Returned,Profit,ROI%,Hits,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears,Gap,FavMin,FS,Cond,Card
K1W7_BEL_FS10-12_Gap0.18_Fav0.00_fast_midlate,BEL,7,214,25680,36553.05,10873.05,42.34,64,29.91,571.14,31.03,94.72,176,38,9/13,0.18,0.0,10-12,fast,midlate
K1W8_BEL_FS10-13_Gap0.18_Fav0.40_all_all,BEL,8,191,40110,51143.65,11033.65,27.51,80,41.88,639.3,14.03,94.47,159,32,9/13,0.18,0.4,10-13,all,all
K1W8_BEL_FS10-13_Gap0.15_Fav0.40_all_all,BEL,8,194,40740,51321.4,10581.4,25.97,81,41.75,633.6,12.44,94.47,162,32,9/13,0.15,0.4,10-13,all,all
K1W8_BEL_FS10-13_Gap0.10_Fav0.40_all_all,BEL,8,195,40950,51396.9,10446.9,25.51,82,42.05,626.79,11.97,94.47,163,32,9/13,0.1,0.4,10-13,all,all
K1W8_BEL_FS10-13_Gap0.12_Fav0.40_all_all,BEL,8,195,40950,51396.9,10446.9,25.51,82,42.05,626.79,11.97,94.47,163,32,9/13,0.12,0.4,10-13,all,all
K1W7_BEL_FS10-13_Gap0.18_Fav0.35_all_midlate,BEL,7,242,29040,42470.25,13430.25,46.25,74,30.58,573.92,35.85,94.37,199,43,9/13,0.18,0.35,10-13,all,midlate
K1W8_BEL_FS10-13_Gap0.20_Fav0.40_fast_midlate,BEL,8,120,25200,37024.7,11824.7,46.92,53,44.17,698.58,38.55,94.36,102,18,10/13,0.2,0.4,10-13,fast,midlate
K1W8_BEL_FS10-13_Gap0.18_Fav0.40_fast_midlate,BEL,8,121,25410,37024.7,11614.7,45.71,53,43.8,698.58,37.21,94.36,103,18,10/13,0.18,0.4,10-13,fast,midlate
K1W8_BEL_FS10-13_Gap0.15_Fav0.40_fast_midlate,BEL,8,122,25620,37024.7,11404.7,44.51,53,43.44,698.58,35.89,94.36,104,18,10/13,0.15,0.4,10-13,fast,midlate
K1W8_BEL_FS10-13_Gap0.10_Fav0.40_fast_midlate,BEL,8,123,25830,37100.2,11270.2,43.63,54,43.9,687.04,34.94,94.36,105,18,10/13,0.1,0.4,10-13,fast,midlate
K1W8_BEL_FS10-13_Gap0.12_Fav0.40_fast_midlate,BEL,8,123,25830,37100.2,11270.2,43.63,54,43.9,687.04,34.94,94.36,105,18,10/13,0.12,0.4,10-13,fast,midlate
K1W7_BEL_FS9-11_Gap0.10_Fav0.40_fast_midlate,BEL,7,170,20400,22487.75,2087.75,10.23,65,38.24,345.97,-8.97,93.04,138,32,5/13,0.1,0.4,9-11,fast,midlate
K1W7_BEL_FS9-11_Gap0.12_Fav0.40_fast_midlate,BEL,7,170,20400,22487.75,2087.75,10.23,65,38.24,345.97,-8.97,93.04,138,32,5/13,0.12,0.4,9-11,fast,midlate
K1W7_BEL_FS9-11_Gap0.15_Fav0.40_fast_midlate,BEL,7,167,20040,22038.75,1998.75,9.97,63,37.72,349.82,-9.72,93.04,135,32,5/13,0.15,0.4,9-11,fast,midlate
K1W7_BEL_FS9-11_Gap0.20_Fav0.40_fast_midlate,BEL,7,160,19200,20383.0,1183.0,6.16,59,36.88,345.47,-15.56,93.04,128,32,5/13,0.2,0.4,9-11,fast,midlate
K1W7_BEL_FS9-11_Gap0.18_Fav0.40_fast_midlate,BEL,7,163,19560,20748.5,1188.5,6.08,60,36.81,345.81,-15.17,93.04,131,32,4/13,0.18,0.4,9-11,fast,midlate
K1W8_BEL_FS10-11_Gap0.10_Fav0.35_all_midlate,BEL,8,195,40950,40186.5,-763.5,-1.86,71,36.41,566.01,-21.15,92.83,162,33,5/13,0.1,0.35,10-11,all,midlate
