Strategy,TrackScope,K,Races,Wagered,Returned,Profit,ROI%,Hits,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears,Gap,FavMin,FS,Cond,Card
K1W8_CD_FS9-11_Gap0.12_Fav0.40_all_late,CD,8,203,42630,43096.84,466.84,1.1,85,41.87,507.02,-18.6,25.82,113,90,6/15,0.12,0.4,9-11,all,late
K1W8_CD_FS9-11_Gap0.10_Fav0.40_all_late,CD,8,204,42840,43303.64,463.64,1.08,86,42.16,503.53,-18.45,25.82,114,90,6/15,0.1,0.4,9-11,all,late
K1W9_BEL_FS10-11_Gap0.18_Fav0.40_fast_all,BEL,9,110,36960,30291.0,-6669.0,-18.04,55,50.0,550.75,-27.2,25.82,91,19,5/13,0.18,0.4,10-11,fast,all
K1W9_BEL_FS10-11_Gap0.20_Fav0.40_fast_all,BEL,9,110,36960,30291.0,-6669.0,-18.04,55,50.0,550.75,-27.2,25.82,91,19,5/13,0.2,0.4,10-11,fast,all
K1W9_BEL_FS10-11_Gap0.15_Fav0.40_fast_all,BEL,9,112,37632,30792.75,-6839.25,-18.17,57,50.89,540.22,-27.16,25.82,93,19,5/13,0.15,0.4,10-11,fast,all
K1W9_BEL_FS10-11_Gap0.10_Fav0.40_fast_all,BEL,9,113,37968,30868.25,-7099.75,-18.7,58,51.33,532.21,-27.7,25.82,94,19,5/13,0.1,0.4,10-11,fast,all
K1W9_BEL_FS10-11_Gap0.12_Fav0.40_fast_all,BEL,9,113,37968,30868.25,-7099.75,-18.7,58,51.33,532.21,-27.7,25.82,94,19,5/13,0.12,0.4,10-11,fast,all
K1W8_AQU_FS10-11_Gap0.15_Fav0.00_fast_midlate,AQU,8,232,48720,44688.4,-4031.6,-8.28,72,31.03,620.67,-22.99,25.79,162,70,7/15,0.15,0.0,10-11,fast,midlate
K1W7_CD+KEE_FS12-20_Gap0.18_Fav0.00_fast_all,CD+KEE,7,292,35040,32975.0,-2065.0,-5.89,45,15.41,732.78,-25.32,25.78,181,111,5/15,0.18,0.0,12-20,fast,all
K1W8_AQU_FS10-13_Gap0.15_Fav0.00_all_late,AQU,8,263,55230,48141.6,-7088.4,-12.83,77,29.28,625.22,-34.28,25.73,169,94,4/15,0.15,0.0,10-13,all,late
K1W9_DMR_FS10-12_Gap0.10_Fav0.40_all_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.1,0.4,10-12,all,late
K1W9_DMR_FS10-12_Gap0.10_Fav0.40_fast_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.1,0.4,10-12,fast,late
K1W9_DMR_FS10-12_Gap0.12_Fav0.40_all_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.12,0.4,10-12,all,late
K1W9_DMR_FS10-12_Gap0.12_Fav0.40_fast_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.12,0.4,10-12,fast,late
K1W9_DMR_FS10-12_Gap0.15_Fav0.40_all_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.15,0.4,10-12,all,late
K1W9_DMR_FS10-12_Gap0.15_Fav0.40_fast_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.15,0.4,10-12,fast,late
K1W9_DMR_FS10-12_Gap0.18_Fav0.40_all_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.18,0.4,10-12,all,late
K1W9_DMR_FS10-12_Gap0.18_Fav0.40_fast_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.18,0.4,10-12,fast,late
K1W9_DMR_FS10-12_Gap0.20_Fav0.40_all_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.2,0.4,10-12,all,late
K1W9_DMR_FS10-12_Gap0.20_Fav0.40_fast_late,DMR,9,82,27552,31662.5,4110.5,14.92,34,41.46,931.25,8.03,25.68,50,32,4/14,0.2,0.4,10-12,fast,late
K1W8_CD_FS10-11_Gap0.10_Fav0.35_all_midlate,CD,8,329,69090,76386.93,7296.93,10.56,111,33.74,688.17,0.18,25.66,195,134,8/15,0.1,0.35,10-11,all,midlate
K1W8_MTH_FS10-13_Gap0.10_Fav0.40_all_midlate,MTH,8,164,34440,35047.4,607.4,1.76,68,41.46,515.4,-9.33,25.65,112,52,6/15,0.1,0.4,10-13,all,midlate
K1W8_MTH_FS10-13_Gap0.12_Fav0.40_all_midlate,MTH,8,164,34440,35047.4,607.4,1.76,68,41.46,515.4,-9.33,25.65,112,52,6/15,0.12,0.4,10-13,all,midlate
K1W7_CD+KEE_FS12-20_Gap0.18_Fav0.35_all_all,CD+KEE,7,298,35760,31568.5,-4191.5,-11.72,45,15.1,701.52,-37.58,25.59,176,122,7/15,0.18,0.35,12-20,all,all
K1W8_CD+KEE_FS10-11_Gap0.15_Fav0.35_fast_late,CD+KEE,8,244,51240,48496.5,-2743.5,-5.35,74,30.33,655.36,-23.11,25.57,155,89,6/15,0.15,0.35,10-11,fast,late
K1W9_DMR_FS10-13_Gap0.18_Fav0.00_all_midlate,DMR,9,250,84000,83511.8,-488.2,-0.58,94,37.6,888.42,-18.9,25.56,147,103,6/14,0.18,0.0,10-13,all,midlate
K1W9_DMR_FS10-13_Gap0.18_Fav0.00_fast_midlate,DMR,9,250,84000,83511.8,-488.2,-0.58,94,37.6,888.42,-18.9,25.56,147,103,6/14,0.18,0.0,10-13,fast,midlate
K1W7_KEE_FS12-20_Gap0.15_Fav0.35_fast_all,KEE,7,107,12840,11805.6,-1034.4,-8.06,17,15.89,694.45,-34.39,25.56,60,47,7/15,0.15,0.35,12-20,fast,all
K1W7_BEL_FS10-11_Gap0.10_Fav0.00_fast_midlate,BEL,7,316,37920,29776.05,-8143.95,-21.48,71,22.47,419.38,-30.74,25.56,264,52,6/13,0.1,0.0,10-11,fast,midlate
K1W8_CD+KEE_FS10-11_Gap0.18_Fav0.40_all_midlate,CD+KEE,8,231,48510,42142.45,-6367.55,-13.13,81,35.06,520.28,-40.61,25.52,135,96,4/15,0.18,0.4,10-11,all,midlate
K1W7_BEL_FS9-11_Gap0.20_Fav0.00_all_all,BEL,7,418,50160,45357.0,-4803.0,-9.58,138,33.01,328.67,-18.0,25.48,337,81,5/13,0.2,0.0,9-11,all,all
K1W9_DMR_FS10-12_Gap0.15_Fav0.35_all_late,DMR,9,158,53088,51715.6,-1372.4,-2.59,58,36.71,891.65,-21.14,25.4,95,63,5/14,0.15,0.35,10-12,all,late
K1W9_DMR_FS10-12_Gap0.15_Fav0.35_fast_late,DMR,9,158,53088,51715.6,-1372.4,-2.59,58,36.71,891.65,-21.14,25.4,95,63,5/14,0.15,0.35,10-12,fast,late
K1W8_OP_FS10-12_Gap0.12_Fav0.00_wet_midlate,OP,8,154,32340,39934.4,7594.4,23.48,45,29.22,887.43,19.27,25.39,48,106,9/13,0.12,0.0,10-12,wet,midlate
K1W8_OP_FS10-13_Gap0.12_Fav0.00_wet_midlate,OP,8,154,32340,39934.4,7594.4,23.48,45,29.22,887.43,19.27,25.39,48,106,9/13,0.12,0.0,10-13,wet,midlate
K1W8_GP_FS9-11_Gap0.12_Fav0.00_wet_late,GP,8,175,36750,29611.3,-7138.7,-19.43,49,28.0,604.31,-35.4,25.38,129,46,4/13,0.12,0.0,9-11,wet,late
K1W7_CD_FS12-20_Gap0.10_Fav0.35_all_midlate,CD,7,148,17760,14971.3,-2788.7,-15.7,23,15.54,650.93,-37.92,25.32,96,52,5/15,0.1,0.35,12-20,all,midlate
K1W7_CD_FS12-20_Gap0.12_Fav0.35_all_midlate,CD,7,148,17760,14971.3,-2788.7,-15.7,23,15.54,650.93,-37.92,25.32,96,52,5/15,0.12,0.35,12-20,all,midlate
K1W9_AQU_FS10-13_Gap0.15_Fav0.35_fast_midlate,AQU,9,221,74256,69229.4,-5026.6,-6.77,93,42.08,744.4,-21.33,25.31,152,69,8/15,0.15,0.35,10-13,fast,midlate
K1W8_CD_FS10-11_Gap0.20_Fav0.35_all_late,CD,8,174,36540,38629.58,2089.58,5.72,61,35.06,633.27,-9.08,25.25,99,75,6/15,0.2,0.35,10-11,all,late
K1W8_DMR_FS10-13_Gap0.20_Fav0.35_all_midlate,DMR,8,199,41790,39051.1,-2738.9,-6.55,61,30.65,640.18,-31.75,25.23,111,88,4/14,0.2,0.35,10-13,all,midlate
K1W8_DMR_FS10-13_Gap0.20_Fav0.35_fast_midlate,DMR,8,199,41790,39051.1,-2738.9,-6.55,61,30.65,640.18,-31.75,25.23,111,88,4/14,0.2,0.35,10-13,fast,midlate
K1W9_AQU_FS10-11_Gap0.20_Fav0.40_all_midlate,AQU,9,137,46032,49148.0,3116.0,6.77,67,48.91,733.55,-1.93,25.17,93,44,9/15,0.2,0.4,10-11,all,midlate
K1W9_AQU_FS10-11_Gap0.18_Fav0.40_all_midlate,AQU,9,144,48384,50375.5,1991.5,4.12,69,47.92,730.08,-5.15,25.17,100,44,9/15,0.18,0.4,10-11,all,midlate
K1W9_AQU_FS10-11_Gap0.15_Fav0.40_all_midlate,AQU,9,147,49392,50375.5,983.5,1.99,69,46.94,730.08,-7.91,25.17,103,44,9/15,0.15,0.4,10-11,all,midlate
K1W9_AQU_FS10-11_Gap0.10_Fav0.40_all_midlate,AQU,9,148,49728,50375.5,647.5,1.3,69,46.62,730.08,-8.79,25.17,104,44,9/15,0.1,0.4,10-11,all,midlate
K1W9_AQU_FS10-11_Gap0.12_Fav0.40_all_midlate,AQU,9,148,49728,50375.5,647.5,1.3,69,46.62,730.08,-8.79,25.17,104,44,9/15,0.12,0.4,10-11,all,midlate
K1W9_DMR_FS10-11_Gap0.10_Fav0.40_all_midlate,DMR,9,112,37632,40239.5,2607.5,6.93,49,43.75,821.21,-10.63,25.13,57,55,7/14,0.1,0.4,10-11,all,midlate
K1W9_DMR_FS10-11_Gap0.10_Fav0.40_fast_midlate,DMR,9,112,37632,40239.5,2607.5,6.93,49,43.75,821.21,-10.63,25.13,57,55,7/14,0.1,0.4,10-11,fast,midlate
K1W9_DMR_FS10-11_Gap0.12_Fav0.40_all_midlate,DMR,9,112,37632,40239.5,2607.5,6.93,49,43.75,821.21,-10.63,25.13,57,55,7/14,0.12,0.4,10-11,all,midlate
K1W9_DMR_FS10-11_Gap0.12_Fav0.40_fast_midlate,DMR,9,112,37632,40239.5,2607.5,6.93,49,43.75,821.21,-10.63,25.13,57,55,7/14,0.12,0.4,10-11,fast,midlate
K1W8_AQU_FS10-11_Gap0.18_Fav0.00_fast_all,AQU,8,209,43890,39579.35,-4310.65,-9.82,69,33.01,573.61,-22.29,25.1,154,55,6/15,0.18,0.0,10-11,fast,all
K1W9_GP_FS9-11_Gap0.18_Fav0.35_wet_late,GP,9,97,32592,28248.1,-4343.9,-13.33,36,37.11,784.67,-28.14,25.08,70,27,4/12,0.18,0.35,9-11,wet,late
K1W8_MTH_FS10-13_Gap0.18_Fav0.40_fast_late,MTH,8,115,24150,21297.3,-2852.7,-11.81,44,38.26,484.03,-27.29,25.06,81,34,5/15,0.18,0.4,10-13,fast,late
K1W9_BEL_FS9-11_Gap0.18_Fav0.35_wet_all,BEL,9,111,37296,32517.1,-4778.9,-12.81,45,40.54,722.6,-21.64,25.03,90,21,4/13,0.18,0.35,9-11,wet,all
K1W9_BEL_FS9-11_Gap0.18_Fav0.00_wet_all,BEL,9,120,40320,34458.1,-5861.9,-14.54,47,39.17,733.15,-22.93,25.03,99,21,4/13,0.18,0.0,9-11,wet,all
K1W7_CD_FS12-20_Gap0.18_Fav0.00_fast_late,CD,7,103,12360,11730.4,-629.6,-5.09,19,18.45,617.39,-18.06,25.01,72,31,5/15,0.18,0.0,12-20,fast,late
K1W8_CD_FS10-11_Gap0.15_Fav0.00_fast_late,CD,8,245,51450,57846.2,6396.2,12.43,82,33.47,705.44,4.06,25.0,147,98,7/15,0.15,0.0,10-11,fast,late
K1W8_DMR_FS12-20_Gap0.10_Fav0.00_all_midlate,DMR,8,130,27300,22707.8,-4592.2,-16.82,27,20.77,841.03,-39.73,25.0,84,46,5/14,0.1,0.0,12-20,all,midlate
K1W8_DMR_FS12-20_Gap0.10_Fav0.00_fast_midlate,DMR,8,130,27300,22707.8,-4592.2,-16.82,27,20.77,841.03,-39.73,25.0,84,46,5/14,0.1,0.0,12-20,fast,midlate
K1W9_BEL_FS10-12_Gap0.12_Fav0.00_all_late,BEL,9,332,111552,104703.15,-6848.85,-6.14,99,29.82,1057.61,-11.92,24.99,280,52,6/13,0.12,0.0,10-12,all,late
K1W8_AQU_FS10-13_Gap0.18_Fav0.00_fast_midlate,AQU,8,211,44310,39810.2,-4499.8,-10.16,68,32.23,585.44,-25.44,24.95,147,64,5/15,0.18,0.0,10-13,fast,midlate
K1W7_MTH_FS10-12_Gap0.20_Fav0.40_all_midlate,MTH,7,150,18000,19960.4,1960.4,10.89,50,33.33,399.21,5.06,24.94,106,44,5/15,0.2,0.4,10-12,all,midlate
K1W8_CD_FS10-12_Gap0.15_Fav0.35_all_late,CD,8,318,66780,72271.03,5491.03,8.22,103,32.39,701.66,-1.48,24.9,201,117,8/15,0.15,0.35,10-12,all,late
K1W8_AQU_FS10-13_Gap0.20_Fav0.00_fast_all,AQU,8,204,42840,38502.45,-4337.55,-10.13,69,33.82,558.01,-23.67,24.8,147,57,7/15,0.2,0.0,10-13,fast,all
K1W8_BEL_FS12-20_Gap0.12_Fav0.00_all_late,BEL,8,111,23310,14666.95,-8643.05,-37.08,18,16.22,814.83,-55.07,24.8,86,25,4/13,0.12,0.0,12-20,all,late
K1W9_DMR_FS10-12_Gap0.18_Fav0.40_all_midlate,DMR,9,127,42672,47242.4,4570.4,10.71,54,42.52,874.86,-0.38,24.77,71,56,6/14,0.18,0.4,10-12,all,midlate
K1W9_DMR_FS10-12_Gap0.18_Fav0.40_fast_midlate,DMR,9,127,42672,47242.4,4570.4,10.71,54,42.52,874.86,-0.38,24.77,71,56,6/14,0.18,0.4,10-12,fast,midlate
K1W9_DMR_FS10-12_Gap0.20_Fav0.40_all_midlate,DMR,9,126,42336,46776.4,4440.4,10.49,53,42.06,882.57,-0.94,24.77,70,56,6/14,0.2,0.4,10-12,all,midlate
K1W9_DMR_FS10-12_Gap0.20_Fav0.40_fast_midlate,DMR,9,126,42336,46776.4,4440.4,10.49,53,42.06,882.57,-0.94,24.77,70,56,6/14,0.2,0.4,10-12,fast,midlate
K1W9_BEL_FS10-13_Gap0.18_Fav0.40_all_all,BEL,9,191,64176,62763.15,-1412.85,-2.2,91,47.64,689.7,-7.63,24.76,159,32,6/13,0.18,0.4,10-13,all,all
K1W9_BEL_FS10-13_Gap0.15_Fav0.40_all_all,BEL,9,194,65184,63264.9,-1919.1,-2.94,93,47.94,680.27,-8.42,24.76,162,32,6/13,0.15,0.4,10-13,all,all
K1W9_BEL_FS10-13_Gap0.10_Fav0.40_all_all,BEL,9,195,65520,63340.4,-2179.6,-3.33,94,48.21,673.83,-8.84,24.76,163,32,6/13,0.1,0.4,10-13,all,all
K1W9_BEL_FS10-13_Gap0.12_Fav0.40_all_all,BEL,9,195,65520,63340.4,-2179.6,-3.33,94,48.21,673.83,-8.84,24.76,163,32,6/13,0.12,0.4,10-13,all,all
K1W9_DMR_FS10-11_Gap0.12_Fav0.00_all_midlate,DMR,9,374,125664,126270.3,606.3,0.48,130,34.76,971.31,-15.02,24.7,228,146,6/14,0.12,0.0,10-11,all,midlate
K1W9_DMR_FS10-11_Gap0.12_Fav0.00_fast_midlate,DMR,9,374,125664,126270.3,606.3,0.48,130,34.76,971.31,-15.02,24.7,228,146,6/14,0.12,0.0,10-11,fast,midlate
K1W9_AQU_FS10-11_Gap0.12_Fav0.00_fast_midlate,AQU,9,291,97776,91699.8,-6076.2,-6.21,104,35.74,881.73,-19.83,24.69,202,89,5/15,0.12,0.0,10-11,fast,midlate
K1W8_AQU_FS10-13_Gap0.15_Fav0.35_all_midlate,AQU,8,299,62790,56528.3,-6261.7,-9.97,98,32.78,576.82,-27.12,24.68,200,99,3/15,0.15,0.35,10-13,all,midlate
K1W8_DMR_FS10-11_Gap0.20_Fav0.35_all_midlate,DMR,8,156,32760,31371.7,-1388.3,-4.24,52,33.33,603.3,-28.96,24.6,84,72,5/14,0.2,0.35,10-11,all,midlate
K1W8_DMR_FS10-11_Gap0.20_Fav0.35_fast_midlate,DMR,8,156,32760,31371.7,-1388.3,-4.24,52,33.33,603.3,-28.96,24.6,84,72,5/14,0.2,0.35,10-11,fast,midlate
K1W8_CD+KEE_FS10-11_Gap0.18_Fav0.40_fast_midlate,CD+KEE,8,192,40320,34201.5,-6118.5,-15.17,68,35.42,502.96,-37.99,24.59,122,70,5/15,0.18,0.4,10-11,fast,midlate
K1W9_GP_FS9-11_Gap0.15_Fav0.40_wet_midlate,GP,9,89,29904,25105.9,-4798.1,-16.05,38,42.7,660.68,-30.19,24.54,66,23,3/12,0.15,0.4,9-11,wet,midlate
K1W9_AQU_FS10-12_Gap0.15_Fav0.00_fast_late,AQU,9,191,64176,59644.2,-4531.8,-7.06,72,37.7,828.39,-24.13,24.53,124,67,6/15,0.15,0.0,10-12,fast,late
K1W7_CD_FS12-20_Gap0.10_Fav0.35_fast_late,CD,7,97,11640,10810.2,-829.8,-7.13,19,19.59,568.96,-19.98,24.53,69,28,4/14,0.1,0.35,12-20,fast,late
K1W7_CD_FS12-20_Gap0.12_Fav0.35_fast_late,CD,7,97,11640,10810.2,-829.8,-7.13,19,19.59,568.96,-19.98,24.53,69,28,4/14,0.12,0.35,12-20,fast,late
K1W9_CD_FS12-20_Gap0.10_Fav0.35_all_late,CD,9,109,36624,44796.5,8172.5,22.31,37,33.94,1210.72,21.32,24.5,75,34,6/14,0.1,0.35,12-20,all,late
K1W9_CD_FS12-20_Gap0.12_Fav0.35_all_late,CD,9,109,36624,44796.5,8172.5,22.31,37,33.94,1210.72,21.32,24.5,75,34,6/14,0.12,0.35,12-20,all,late
K1W8_CD_FS9-11_Gap0.18_Fav0.35_wet_all,CD,8,90,18900,19833.11,933.11,4.94,30,33.33,661.1,-8.67,24.43,53,37,4/15,0.18,0.35,9-11,wet,all
K1W8_CD_FS10-11_Gap0.12_Fav0.35_fast_late,CD,8,196,41160,44384.5,3224.5,7.83,67,34.18,662.46,-3.12,24.4,118,78,6/15,0.12,0.35,10-11,fast,late
K1W8_CD+KEE_FS10-11_Gap0.15_Fav0.40_fast_all,CD+KEE,8,276,57960,56256.4,-1703.6,-2.94,100,36.23,562.56,-23.92,24.33,156,120,7/15,0.15,0.4,10-11,fast,all
K1W9_AQU_FS10-11_Gap0.15_Fav0.00_all_late,AQU,9,210,70560,68953.6,-1606.4,-2.28,83,39.52,830.77,-17.35,24.29,134,76,6/15,0.15,0.0,10-11,all,late
K1W8_CD_FS10-11_Gap0.15_Fav0.00_all_midlate,CD,8,394,82740,91853.23,9113.23,11.01,127,32.23,723.25,1.94,24.28,234,160,8/15,0.15,0.0,10-11,all,midlate
K1W8_CD+KEE_FS10-11_Gap0.20_Fav0.40_fast_late,CD+KEE,8,124,26040,20844.8,-5195.2,-19.95,42,33.87,496.3,-46.94,24.27,77,47,5/15,0.2,0.4,10-11,fast,late
K1W8_AQU_FS10-13_Gap0.10_Fav0.35_all_all,AQU,8,387,81270,75503.75,-5766.25,-7.1,128,33.07,589.87,-20.33,24.21,272,115,5/15,0.1,0.35,10-13,all,all
K1W9_DMR_FS10-11_Gap0.18_Fav0.00_all_midlate,DMR,9,200,67200,65410.5,-1789.5,-2.66,80,40.0,817.63,-22.11,24.19,116,84,5/14,0.18,0.0,10-11,all,midlate
K1W9_DMR_FS10-11_Gap0.18_Fav0.00_fast_midlate,DMR,9,200,67200,65410.5,-1789.5,-2.66,80,40.0,817.63,-22.11,24.19,116,84,5/14,0.18,0.0,10-11,fast,midlate
K1W7_MTH_FS9-11_Gap0.12_Fav0.35_all_midlate,MTH,7,440,52800,55601.2,2801.2,5.31,150,34.09,370.67,-2.59,24.13,310,130,7/15,0.12,0.35,9-11,all,midlate
K1W7_CD+KEE_FS12-20_Gap0.15_Fav0.35_fast_midlate,CD+KEE,7,198,23760,21750.5,-2009.5,-8.46,32,16.16,679.7,-25.85,24.07,129,69,5/15,0.15,0.35,12-20,fast,midlate
K1W9_AQU_FS10-13_Gap0.10_Fav0.35_all_midlate,AQU,9,313,105168,96806.5,-8361.5,-7.95,128,40.89,756.3,-23.63,24.03,210,103,6/15,0.1,0.35,10-13,all,midlate
K1W7_CD_FS12-20_Gap0.18_Fav0.00_fast_all,CD,7,173,20760,19221.1,-1538.9,-7.41,26,15.03,739.27,-26.32,24.01,108,65,6/15,0.18,0.0,12-20,fast,all
K1W9_BEL_FS10-12_Gap0.15_Fav0.00_all_midlate,BEL,9,369,123984,114262.15,-9721.85,-7.84,132,35.77,865.62,-14.27,24.0,307,62,6/13,0.15,0.0,10-12,all,midlate
K1W8_MTH_FS10-12_Gap0.10_Fav0.40_fast_late,MTH,8,120,25200,22094.7,-3105.3,-12.32,46,38.33,480.32,-27.89,23.99,84,36,4/15,0.1,0.4,10-12,fast,late
K1W8_MTH_FS10-12_Gap0.12_Fav0.40_fast_late,MTH,8,120,25200,22094.7,-3105.3,-12.32,46,38.33,480.32,-27.89,23.99,84,36,4/15,0.12,0.4,10-12,fast,late
K1W8_MTH_FS10-12_Gap0.15_Fav0.40_fast_late,MTH,8,119,24990,21741.8,-3248.2,-13.0,45,37.82,483.15,-29.04,23.99,83,36,4/15,0.15,0.4,10-12,fast,late
K1W7_BEL_FS12-20_Gap0.15_Fav0.35_all_all,BEL,7,96,11520,23907.45,12387.45,107.53,25,26.04,956.3,124.24,23.96,80,16,7/13,0.15,0.35,12-20,all,all
K1W7_BEL_FS12-20_Gap0.10_Fav0.35_all_all,BEL,7,98,11760,23907.45,12147.45,103.29,25,25.51,956.3,118.77,23.96,82,16,7/13,0.1,0.35,12-20,all,all
K1W7_BEL_FS12-20_Gap0.12_Fav0.35_all_all,BEL,7,98,11760,23907.45,12147.45,103.29,25,25.51,956.3,118.77,23.96,82,16,7/13,0.12,0.35,12-20,all,all
K1W9_GP_FS10-11_Gap0.10_Fav0.35_wet_all,GP,9,97,32592,33146.8,554.8,1.7,35,36.08,947.05,-3.02,23.94,80,17,6/12,0.1,0.35,10-11,wet,all
K1W8_MTH_FS10-13_Gap0.18_Fav0.35_fast_midlate,MTH,8,188,39480,41615.5,2135.5,5.41,77,40.96,540.46,-1.66,23.91,136,52,6/15,0.18,0.35,10-13,fast,midlate
K1W7_KEE_FS10-11_Gap0.18_Fav0.35_fast_midlate,KEE,7,91,10920,8449.9,-2470.1,-22.62,19,20.88,444.73,-39.29,23.91,67,24,6/15,0.18,0.35,10-11,fast,midlate
K1W9_AQU_FS10-13_Gap0.12_Fav0.35_all_midlate,AQU,9,310,104160,95887.3,-8272.7,-7.94,125,40.32,767.1,-23.53,23.85,208,102,6/15,0.12,0.35,10-13,all,midlate
K1W8_CD_FS10-13_Gap0.20_Fav0.40_fast_midlate,CD,8,195,40950,41663.6,713.6,1.74,73,37.44,570.73,-13.29,23.82,116,79,7/15,0.2,0.4,10-13,fast,midlate
K1W8_CD_FS10-12_Gap0.20_Fav0.40_fast_midlate,CD,8,194,40740,41319.7,579.7,1.42,72,37.11,573.88,-13.96,23.82,115,79,7/15,0.2,0.4,10-12,fast,midlate
K1W8_CD_FS9-11_Gap0.20_Fav0.40_all_midlate,CD,8,286,60060,57864.29,-2195.71,-3.66,119,41.61,486.25,-23.21,23.79,167,119,7/15,0.2,0.4,9-11,all,midlate
K1W7_CD+KEE_FS12-20_Gap0.20_Fav0.35_all_late,CD+KEE,7,136,16320,16945.7,625.7,3.83,25,18.38,677.83,-6.35,23.76,90,46,5/15,0.2,0.35,12-20,all,late
K1W8_MTH_FS10-13_Gap0.18_Fav0.35_all_midlate,MTH,8,205,43050,44686.6,1636.6,3.8,84,40.98,531.98,-4.07,23.76,147,58,6/15,0.18,0.35,10-13,all,midlate
K1W9_AQU_FS10-12_Gap0.20_Fav0.00_fast_midlate,AQU,9,168,56448,58165.8,1717.8,3.04,74,44.05,786.02,-5.99,23.76,117,51,8/15,0.2,0.0,10-12,fast,midlate
K1W9_AQU_FS10-12_Gap0.20_Fav0.35_fast_midlate,AQU,9,164,55104,56045.3,941.3,1.71,73,44.51,767.74,-8.25,23.76,113,51,8/15,0.2,0.35,10-12,fast,midlate
K1W8_AQU_FS10-11_Gap0.20_Fav0.00_all_all,AQU,8,230,48300,49679.05,1379.05,2.86,82,35.65,605.84,-5.91,23.74,162,68,9/15,0.2,0.0,10-11,all,all
K1W7_OP_FS10-13_Gap0.12_Fav0.00_fast_late,OP,7,330,39600,41993.7,2393.7,6.04,66,20.0,636.27,-13.91,23.72,155,175,8/14,0.12,0.0,10-13,fast,late
K1W7_BEL_FS10-13_Gap0.10_Fav0.00_all_late,BEL,7,420,50400,37881.45,-12518.55,-24.84,74,17.62,511.91,-35.39,23.68,345,75,4/13,0.1,0.0,10-13,all,late
K1W7_CD_FS9-11_Gap0.15_Fav0.00_wet_all,CD,7,129,15480,17720.61,2240.61,14.47,32,24.81,553.77,9.4,23.62,83,46,6/15,0.15,0.0,9-11,wet,all
K1W8_CD_FS10-11_Gap0.15_Fav0.00_fast_all,CD,8,408,85680,97299.3,11619.3,13.56,137,33.58,710.21,6.18,23.59,235,173,8/15,0.15,0.0,10-11,fast,all
K1W8_MTH_FS10-13_Gap0.20_Fav0.40_fast_late,MTH,8,113,23730,20929.5,-2800.5,-11.8,43,38.05,486.73,-26.38,23.54,80,33,5/15,0.2,0.4,10-13,fast,late
K1W7_MTH_FS10-13_Gap0.18_Fav0.40_all_midlate,MTH,7,156,18720,20634.3,1914.3,10.23,52,33.33,396.81,4.51,23.48,109,47,5/15,0.18,0.4,10-13,all,midlate
K1W8_DMR_FS10-11_Gap0.20_Fav0.00_all_late,DMR,8,107,22470,22984.9,514.9,2.29,35,32.71,656.71,-11.94,23.48,64,43,7/14,0.2,0.0,10-11,all,late
K1W8_DMR_FS10-11_Gap0.20_Fav0.00_fast_late,DMR,8,107,22470,22984.9,514.9,2.29,35,32.71,656.71,-11.94,23.48,64,43,7/14,0.2,0.0,10-11,fast,late
K1W8_AQU_FS10-12_Gap0.15_Fav0.00_fast_midlate,AQU,8,286,60060,50437.4,-9622.6,-16.02,82,28.67,615.09,-33.29,23.48,199,87,6/15,0.15,0.0,10-12,fast,midlate
K1W8_BEL_FS9-11_Gap0.15_Fav0.00_all_midlate,BEL,8,482,101220,91131.15,-10088.85,-9.97,163,33.82,559.09,-16.62,23.47,402,80,5/13,0.15,0.0,9-11,all,midlate
K1W9_DMR_FS10-12_Gap0.12_Fav0.35_all_late,DMR,9,165,55440,53506.0,-1934.0,-3.49,61,36.97,877.15,-20.55,23.44,101,64,4/14,0.12,0.35,10-12,all,late
K1W9_DMR_FS10-12_Gap0.12_Fav0.35_fast_late,DMR,9,165,55440,53506.0,-1934.0,-3.49,61,36.97,877.15,-20.55,23.44,101,64,4/14,0.12,0.35,10-12,fast,late
K1W9_AQU_FS10-13_Gap0.18_Fav0.00_fast_midlate,AQU,9,211,70896,66782.7,-4113.3,-5.8,86,40.76,776.54,-18.53,23.44,147,64,8/15,0.18,0.0,10-13,fast,midlate
