Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W8_MTH_FS10-12_Gap0.15_Fav0.35_all_midlate,8,MTH,10-12,0.15,0.35,all,midlate,234,97,-0.21,41.45,505.53,-7.85,20.53,6/15,0.4,-17.05,8.5
K1W8_KEE_FS11-13_Gap0.10_Fav0.00_fast_all,8,KEE,11-13,0.1,0.0,fast,all,412,84,-0.25,20.39,1027.45,5.34,-11.59,6/15,0.4,-13.05,0.6
K1W7_CD_FS11-13_Gap0.05_Fav0.40_fast_midlate,7,CD,11-13,0.05,0.4,fast,midlate,133,31,-0.25,23.31,513.57,-14.81,22.44,6/15,0.4,-9.58,0.4
K1W7_CD_FS11-13_Gap0.10_Fav0.40_fast_midlate,7,CD,11-13,0.1,0.4,fast,midlate,133,31,-0.25,23.31,513.57,-14.81,22.44,6/15,0.4,-9.58,0.4
K1W7_CD_FS11-14_Gap0.05_Fav0.40_fast_midlate,7,CD,11-14,0.05,0.4,fast,midlate,133,31,-0.25,23.31,513.57,-14.81,22.44,6/15,0.4,-9.58,0.4
K1W7_CD_FS11-14_Gap0.10_Fav0.40_fast_midlate,7,CD,11-14,0.1,0.4,fast,midlate,133,31,-0.25,23.31,513.57,-14.81,22.44,6/15,0.4,-9.58,0.4
K1W8_MTH_FS10-11_Gap0.20_Fav0.00_all_late,8,MTH,10-11,0.2,0.0,all,late,134,55,-0.27,41.04,510.24,-1.78,3.82,6/15,0.4,-13.65,0.8
K1W8_MTH_FS10-11_Gap0.20_Fav0.30_all_late,8,MTH,10-11,0.2,0.3,all,late,134,55,-0.27,41.04,510.24,-1.78,3.82,6/15,0.4,-13.65,0.8
K1W8_CD_FS10-14_Gap0.05_Fav0.00_fast_midlate,8,CD,10-14,0.05,0.0,fast,midlate,1263,305,-0.31,24.15,866.92,-8.59,12.58,6/15,0.4,-11.17,2.0
K1W8_CD_FS10-13_Gap0.25_Fav0.40_fast_midlate,8,CD,10-13,0.25,0.4,fast,midlate,173,66,-0.32,38.15,548.68,-6.73,9.34,6/15,0.4,-8.25,0.2
K1W8_CD_FS10-14_Gap0.25_Fav0.40_fast_midlate,8,CD,10-14,0.25,0.4,fast,midlate,173,66,-0.32,38.15,548.68,-6.73,9.34,6/15,0.4,-8.25,0.2
K1W7_CD_FS11-13_Gap0.15_Fav0.40_fast_late,7,CD,11-13,0.15,0.4,fast,late,102,26,-0.33,25.49,469.23,-5.63,9.83,6/15,0.4,-29.08,6.1
K1W7_CD_FS11-14_Gap0.15_Fav0.40_fast_late,7,CD,11-14,0.15,0.4,fast,late,102,26,-0.33,25.49,469.23,-5.63,9.83,6/15,0.4,-29.08,6.1
K1W8_AQU_FS10-14_Gap0.25_Fav0.00_all_late,8,AQU,10-14,0.25,0.0,all,late,95,38,-0.38,40.0,523.02,-12.92,26.8,6/15,0.4,-41.13,12.9
K1W8_AQU_FS10-14_Gap0.25_Fav0.30_all_late,8,AQU,10-14,0.25,0.3,all,late,95,38,-0.38,40.0,523.02,-12.92,26.8,6/15,0.4,-41.13,12.9
K1W8_AQU_FS10-14_Gap0.25_Fav0.35_all_late,8,AQU,10-14,0.25,0.35,all,late,95,38,-0.38,40.0,523.02,-12.92,26.8,6/15,0.4,-41.13,12.9
K1W8_CD_FS10-11_Gap0.10_Fav0.00_all_late,8,CD,10-11,0.1,0.0,all,late,480,142,-0.4,29.58,707.05,-10.21,14.2,6/15,0.4,-6.81,1.8
K1W7_AQU_FS11-14_Gap0.05_Fav0.00_all_late,7,AQU,11-14,0.05,0.0,all,late,305,49,-0.44,16.07,743.63,-43.93,68.47,6/15,0.4,-36.23,-3.6
K1W7_CD_FS11-12_Gap0.05_Fav0.40_fast_late,7,CD,11-12,0.05,0.4,fast,late,101,26,-0.47,25.74,463.95,-5.94,9.83,6/15,0.4,-29.08,4.1
K1W7_CD_FS11-12_Gap0.10_Fav0.40_fast_late,7,CD,11-12,0.1,0.4,fast,late,101,26,-0.47,25.74,463.95,-5.94,9.83,6/15,0.4,-29.08,4.1
K1W7_CD_FS10-11_Gap0.05_Fav0.35_all_all,7,CD,10-11,0.05,0.35,all,all,415,105,-0.52,25.3,471.81,-0.61,-0.41,6/15,0.4,-13.22,3.7
K1W8_AQU_FS10-11_Gap0.20_Fav0.40_all_all,8,AQU,10-11,0.2,0.4,all,all,170,67,-0.62,39.41,529.56,-4.61,8.97,6/15,0.4,-15.36,-0.6
K1W8_MTH_FS10-11_Gap0.20_Fav0.35_all_late,8,MTH,10-11,0.2,0.35,all,late,131,53,-0.62,40.46,515.85,-2.3,3.82,6/15,0.4,-13.65,-0.5
K1W8_CD_FS10-11_Gap0.05_Fav0.00_all_all,8,CD,10-11,0.05,0.0,all,all,1246,322,-0.68,25.84,807.11,-5.12,5.34,6/15,0.4,-5.69,0.6
K1W7_CD_FS11-12_Gap0.22_Fav0.35_all_late,7,CD,11-12,0.22,0.35,all,late,141,31,-0.68,21.99,542.07,-0.02,-1.8,6/15,0.4,-20.46,1.3
K1W8_CD_FS10-12_Gap0.25_Fav0.40_fast_midlate,8,CD,10-12,0.25,0.4,fast,midlate,172,65,-0.7,37.79,551.83,-7.42,9.34,6/15,0.4,-8.25,-0.1
K1W8_MTH_FS10-12_Gap0.10_Fav0.35_fast_midlate,8,MTH,10-12,0.1,0.35,fast,midlate,228,92,-0.75,40.35,516.52,-5.0,10.62,6/15,0.4,-22.67,4.7
K1W8_AQU_FS10-14_Gap0.25_Fav0.40_fast_midlate,8,AQU,10-14,0.25,0.4,fast,midlate,92,38,-0.76,41.3,504.55,-25.66,83.42,6/15,0.4,-36.64,14.3
K1W8_CD_FS10-11_Gap0.20_Fav0.00_all_midlate,8,CD,10-11,0.2,0.0,all,midlate,255,84,-0.77,32.94,632.62,-10.73,11.75,6/15,0.4,-18.92,6.5
K1W8_CD_FS10-11_Gap0.20_Fav0.30_all_midlate,8,CD,10-11,0.2,0.3,all,midlate,255,84,-0.77,32.94,632.62,-10.73,11.75,6/15,0.4,-18.92,6.5
K1W7_MTH_FS10-11_Gap0.10_Fav0.30_all_midlate,7,MTH,10-11,0.1,0.3,all,midlate,318,95,-0.78,29.87,398.54,4.91,-17.72,6/15,0.4,-6.02,7.3
K1W8_AQU_FS10-12_Gap0.25_Fav0.00_fast_midlate,8,AQU,10-12,0.25,0.0,fast,midlate,98,40,-0.79,40.82,510.43,-22.05,61.3,6/15,0.4,-38.71,16.5
K1W8_AQU_FS10-12_Gap0.25_Fav0.30_fast_midlate,8,AQU,10-12,0.25,0.3,fast,midlate,98,40,-0.79,40.82,510.43,-22.05,61.3,6/15,0.4,-38.71,16.5
K1W8_AQU_FS10-12_Gap0.25_Fav0.35_fast_midlate,8,AQU,10-12,0.25,0.35,fast,midlate,98,40,-0.79,40.82,510.43,-22.05,61.3,6/15,0.4,-38.71,16.5
K1W8_AQU_FS10-13_Gap0.25_Fav0.00_fast_midlate,8,AQU,10-13,0.25,0.0,fast,midlate,98,40,-0.79,40.82,510.43,-22.05,61.3,6/15,0.4,-38.71,16.5
K1W8_AQU_FS10-13_Gap0.25_Fav0.30_fast_midlate,8,AQU,10-13,0.25,0.3,fast,midlate,98,40,-0.79,40.82,510.43,-22.05,61.3,6/15,0.4,-38.71,16.5
K1W8_AQU_FS10-13_Gap0.25_Fav0.35_fast_midlate,8,AQU,10-13,0.25,0.35,fast,midlate,98,40,-0.79,40.82,510.43,-22.05,61.3,6/15,0.4,-38.71,16.5
K1W7_MTH_FS10-12_Gap0.15_Fav0.00_all_all,7,MTH,10-12,0.15,0.0,all,all,419,121,-0.8,28.88,412.2,5.97,-21.86,6/15,0.4,-2.83,-2.2
K1W7_CD_FS11-13_Gap0.15_Fav0.40_fast_midlate,7,CD,11-13,0.15,0.4,fast,midlate,132,30,-0.8,22.73,523.79,-15.9,22.44,6/15,0.4,-9.58,1.2
K1W7_CD_FS11-14_Gap0.15_Fav0.40_fast_midlate,7,CD,11-14,0.15,0.4,fast,midlate,132,30,-0.8,22.73,523.79,-15.9,22.44,6/15,0.4,-9.58,1.2
K1W7_CD_FS11-12_Gap0.05_Fav0.35_all_late,7,CD,11-12,0.05,0.35,all,late,214,46,-0.81,21.5,553.76,-3.59,4.25,6/15,0.4,-37.31,1.3
K1W8_AQU_FS10-12_Gap0.20_Fav0.35_fast_late,8,AQU,10-12,0.2,0.35,fast,late,109,41,-0.84,37.61,553.59,-20.55,34.53,6/15,0.4,-35.05,12.5
K1W7_CD_FS11-12_Gap0.05_Fav0.40_fast_midlate,7,CD,11-12,0.05,0.4,fast,midlate,131,30,-0.91,22.9,519.22,-16.28,22.44,6/15,0.4,-9.58,-0.5
K1W7_CD_FS11-12_Gap0.10_Fav0.40_fast_midlate,7,CD,11-12,0.1,0.4,fast,midlate,131,30,-0.91,22.9,519.22,-16.28,22.44,6/15,0.4,-9.58,-0.5
K1W8_CD_FS10-11_Gap0.20_Fav0.35_all_midlate,8,CD,10-11,0.2,0.35,all,midlate,249,83,-0.97,33.33,623.89,-14.07,15.85,6/15,0.4,-29.67,7.2
K1W7_AQU_FS11-14_Gap0.15_Fav0.00_all_all,7,AQU,11-14,0.15,0.0,all,all,201,36,-0.97,17.91,663.49,-18.22,34.31,6/15,0.4,-11.07,-4.1
K1W8_CD_FS10-11_Gap0.20_Fav0.00_fast_all,8,CD,10-11,0.2,0.0,fast,all,261,89,-1.02,34.1,609.59,-4.67,3.22,6/15,0.4,-9.58,-2.6
K1W8_CD_FS10-11_Gap0.20_Fav0.30_fast_all,8,CD,10-11,0.2,0.3,fast,all,261,89,-1.02,34.1,609.59,-4.67,3.22,6/15,0.4,-9.58,-2.6
K1W7_AQU_FS11-12_Gap0.05_Fav0.00_all_all,7,AQU,11-12,0.05,0.0,all,all,490,78,-1.03,15.92,746.07,-20.38,38.51,6/15,0.4,-22.48,0.9
K1W8_MTH_FS10-13_Gap0.15_Fav0.35_all_midlate,8,MTH,10-13,0.15,0.35,all,midlate,236,97,-1.06,41.1,505.53,-7.85,16.82,6/15,0.4,-17.05,7.8
K1W8_MTH_FS10-14_Gap0.15_Fav0.35_all_midlate,8,MTH,10-14,0.15,0.35,all,midlate,236,97,-1.06,41.1,505.53,-7.85,16.82,6/15,0.4,-17.05,7.8
K1W8_CD_FS10-13_Gap0.10_Fav0.35_fast_midlate,8,CD,10-13,0.1,0.35,fast,midlate,403,124,-1.14,30.77,674.74,-9.18,12.0,6/15,0.4,-3.47,-0.4
K1W7_CD_FS11-12_Gap0.15_Fav0.40_fast_late,7,CD,11-12,0.15,0.4,fast,late,100,25,-1.2,25.0,474.24,-7.14,9.83,6/15,0.4,-29.08,5.5
K1W8_CD_FS10-11_Gap0.20_Fav0.35_fast_all,8,CD,10-11,0.2,0.35,fast,all,255,88,-1.22,34.51,601.09,-7.31,5.84,6/15,0.4,-20.85,-2.2
K1W7_AQU_FS11-13_Gap0.05_Fav0.00_all_midlate,7,AQU,11-13,0.05,0.0,all,midlate,418,65,-1.37,15.55,761.1,-26.92,43.8,6/15,0.4,-7.9,-0.4
K1W8_CD_FS10-14_Gap0.10_Fav0.35_fast_midlate,8,CD,10-14,0.1,0.35,fast,midlate,404,124,-1.38,30.69,674.74,-9.54,12.0,6/15,0.4,-3.47,-0.8
K1W7_MTH_FS10-11_Gap0.05_Fav0.30_all_all,7,MTH,10-11,0.05,0.3,all,all,501,142,-1.47,28.34,417.14,10.03,-36.43,6/15,0.4,-0.67,-4.2
K1W7_CD_FS11-12_Gap0.15_Fav0.40_fast_midlate,7,CD,11-12,0.15,0.4,fast,midlate,130,29,-1.47,22.31,530.0,-17.42,22.44,6/15,0.4,-9.58,0.4
K1W7_MTH_FS10-13_Gap0.15_Fav0.00_all_all,7,MTH,10-13,0.15,0.0,all,all,422,121,-1.51,28.67,412.2,5.97,-24.1,6/15,0.4,-2.83,-2.7
K1W7_MTH_FS10-14_Gap0.15_Fav0.00_all_all,7,MTH,10-14,0.15,0.0,all,all,422,121,-1.51,28.67,412.2,5.97,-24.1,6/15,0.4,-2.83,-2.7
K1W8_KEE_FS10-12_Gap0.10_Fav0.30_all_all,8,KEE,10-12,0.1,0.3,all,all,573,148,-1.52,25.83,800.66,-2.01,-0.83,6/15,0.4,-3.58,-3.1
K1W8_CD_FS10-12_Gap0.20_Fav0.00_all_all,8,CD,10-12,0.2,0.0,all,all,459,138,-1.6,30.07,687.31,-9.1,7.7,6/15,0.4,-21.88,-4.3
K1W8_CD_FS10-12_Gap0.20_Fav0.30_all_all,8,CD,10-12,0.2,0.3,all,all,459,138,-1.6,30.07,687.31,-9.1,7.7,6/15,0.4,-21.88,-4.3
K1W8_MTH_FS10-13_Gap0.10_Fav0.35_fast_midlate,8,MTH,10-13,0.1,0.35,fast,midlate,230,92,-1.62,40.0,516.52,-5.0,7.16,6/15,0.4,-22.67,4.0
K1W8_MTH_FS10-14_Gap0.10_Fav0.35_fast_midlate,8,MTH,10-14,0.1,0.35,fast,midlate,230,92,-1.62,40.0,516.52,-5.0,7.16,6/15,0.4,-22.67,4.0
K1W8_KEE_FS10-11_Gap0.15_Fav0.00_fast_all,8,KEE,10-11,0.15,0.0,fast,all,236,62,-1.64,26.27,786.26,-2.76,0.59,6/15,0.4,-20.25,0.5
K1W7_CD_FS11-12_Gap0.05_Fav0.40_all_midlate,7,CD,11-12,0.05,0.4,all,midlate,147,33,-1.64,22.45,525.78,-22.19,26.53,6/15,0.4,-13.51,-4.6
K1W7_CD_FS11-12_Gap0.10_Fav0.40_all_midlate,7,CD,11-12,0.1,0.4,all,midlate,147,33,-1.64,22.45,525.78,-22.19,26.53,6/15,0.4,-13.51,-4.6
K1W7_AQU_FS10-12_Gap0.15_Fav0.35_fast_late,7,AQU,10-12,0.15,0.35,fast,late,145,41,-1.67,28.28,417.3,-13.01,19.88,6/15,0.4,-18.75,-6.1
K1W8_CD_FS10-12_Gap0.20_Fav0.00_fast_all,8,CD,10-12,0.2,0.0,fast,all,396,120,-1.68,30.3,681.38,-7.53,5.72,6/15,0.4,-10.31,-6.0
K1W8_CD_FS10-12_Gap0.20_Fav0.30_fast_all,8,CD,10-12,0.2,0.3,fast,all,396,120,-1.68,30.3,681.38,-7.53,5.72,6/15,0.4,-10.31,-6.0
K1W8_AQU_FS10-11_Gap0.22_Fav0.40_fast_all,8,AQU,10-11,0.22,0.4,fast,all,122,50,-1.69,40.98,503.75,-21.04,57.67,6/15,0.4,-25.09,21.6
K1W7_CD_FS11-13_Gap0.05_Fav0.40_all_midlate,7,CD,11-13,0.05,0.4,all,midlate,150,34,-1.7,22.67,520.43,-21.59,26.53,6/15,0.4,-13.51,-3.7
K1W7_CD_FS11-13_Gap0.10_Fav0.40_all_midlate,7,CD,11-13,0.1,0.4,all,midlate,150,34,-1.7,22.67,520.43,-21.59,26.53,6/15,0.4,-13.51,-3.7
K1W8_AQU_FS10-11_Gap0.22_Fav0.40_all_midlate,8,AQU,10-11,0.22,0.4,all,midlate,134,54,-1.7,40.3,512.23,-12.87,22.77,6/15,0.4,-16.73,3.3
K1W8_KEE_FS10-12_Gap0.15_Fav0.00_fast_all,8,KEE,10-12,0.15,0.0,fast,all,384,92,-1.71,23.96,861.52,-3.89,2.4,6/15,0.4,-12.26,1.2
K1W8_AQU_FS10-11_Gap0.15_Fav0.40_fast_midlate,8,AQU,10-11,0.15,0.4,fast,midlate,111,44,-1.71,39.64,520.7,-22.19,53.58,6/15,0.4,-22.12,7.5
K1W8_KEE_FS10-11_Gap0.05_Fav0.30_all_midlate,8,KEE,10-11,0.05,0.3,all,midlate,250,68,-1.74,27.2,758.64,11.8,-24.59,6/15,0.4,-22.21,-3.7
K1W8_MTH_FS10-11_Gap0.05_Fav0.35_all_midlate,8,MTH,10-11,0.05,0.35,all,midlate,217,89,-1.75,41.01,503.07,-2.0,-1.1,6/15,0.4,-17.88,5.6
K1W8_MTH_FS10-11_Gap0.10_Fav0.30_all_midlate,8,MTH,10-11,0.1,0.3,all,midlate,318,121,-1.76,38.05,542.21,-3.89,4.59,6/15,0.4,-2.18,-2.1
K1W8_AQU_FS10-13_Gap0.22_Fav0.00_all_midlate,8,AQU,10-13,0.22,0.0,all,midlate,202,73,-1.79,36.14,570.7,-11.21,18.06,6/15,0.4,-9.02,-1.9
K1W8_AQU_FS10-13_Gap0.22_Fav0.30_all_midlate,8,AQU,10-13,0.22,0.3,all,midlate,202,73,-1.79,36.14,570.7,-11.21,18.06,6/15,0.4,-9.02,-1.9
K1W8_AQU_FS10-13_Gap0.22_Fav0.35_all_midlate,8,AQU,10-13,0.22,0.35,all,midlate,202,73,-1.79,36.14,570.7,-11.21,18.06,6/15,0.4,-9.02,-1.9
K1W7_CD_FS11-13_Gap0.20_Fav0.35_all_late,7,CD,11-13,0.2,0.35,all,late,177,37,-1.82,20.9,563.63,-9.84,11.68,6/15,0.4,-28.42,-7.1
K1W7_AQU_FS11-13_Gap0.05_Fav0.30_fast_midlate,7,AQU,11-13,0.05,0.3,fast,midlate,164,30,-1.91,18.29,643.44,-32.16,59.69,6/15,0.4,-26.4,16.0
K1W7_AQU_FS11-14_Gap0.05_Fav0.00_all_midlate,7,AQU,11-14,0.05,0.0,all,midlate,429,67,-1.96,15.62,753.33,-28.0,42.72,6/15,0.4,-9.51,-2.6
K1W8_CD_FS10-11_Gap0.10_Fav0.30_fast_midlate,8,CD,10-11,0.1,0.3,fast,midlate,433,137,-1.97,31.64,650.63,-10.46,12.09,6/15,0.4,-9.85,0.2
K1W7_CD_FS10-11_Gap0.10_Fav0.35_all_all,7,CD,10-11,0.1,0.35,all,all,407,103,-1.99,25.31,464.74,-4.9,1.87,6/15,0.4,-15.26,2.7
K1W7_MTH_FS10-11_Gap0.10_Fav0.30_fast_midlate,7,MTH,10-11,0.1,0.3,fast,midlate,288,87,-2.0,30.21,389.28,6.36,-26.18,6/15,0.4,-24.55,2.4
K1W8_MTH_FS10-11_Gap0.15_Fav0.35_fast_all,8,MTH,10-11,0.15,0.35,fast,all,255,108,-2.03,42.35,485.78,1.42,-11.32,6/15,0.4,-18.48,-0.7
K1W8_AQU_FS10-14_Gap0.25_Fav0.00_fast_midlate,8,AQU,10-14,0.25,0.0,fast,midlate,100,41,-2.11,41.0,501.37,-23.11,57.64,6/15,0.4,-38.71,15.6
K1W8_AQU_FS10-14_Gap0.25_Fav0.30_fast_midlate,8,AQU,10-14,0.25,0.3,fast,midlate,100,41,-2.11,41.0,501.37,-23.11,57.64,6/15,0.4,-38.71,15.6
K1W8_AQU_FS10-14_Gap0.25_Fav0.35_fast_midlate,8,AQU,10-14,0.25,0.35,fast,midlate,100,41,-2.11,41.0,501.37,-23.11,57.64,6/15,0.4,-38.71,15.6
K1W7_CD_FS11-12_Gap0.15_Fav0.40_all_midlate,7,CD,11-12,0.15,0.4,all,midlate,146,32,-2.15,21.92,535.75,-23.32,26.53,6/15,0.4,-13.51,-4.2
K1W7_CD_FS11-13_Gap0.15_Fav0.40_all_midlate,7,CD,11-13,0.15,0.4,all,midlate,149,33,-2.19,22.15,529.93,-22.67,26.53,6/15,0.4,-13.51,-3.2
K1W7_AQU_FS11-13_Gap0.15_Fav0.00_all_all,7,AQU,11-13,0.15,0.0,all,all,195,34,-2.2,17.44,673.06,-16.99,29.51,6/15,0.4,-11.07,-2.4
K1W8_CD_FS11-12_Gap0.05_Fav0.00_fast_all,8,CD,11-12,0.05,0.0,fast,all,951,216,-2.24,22.71,903.89,-8.89,7.72,6/15,0.4,-9.15,0.1
K1W8_KEE_FS11-14_Gap0.10_Fav0.00_fast_all,8,KEE,11-14,0.1,0.0,fast,all,428,87,-2.24,20.33,1010.0,5.05,-16.46,6/15,0.4,-13.05,-0.3
K1W8_CD_FS10-13_Gap0.20_Fav0.00_fast_all,8,CD,10-13,0.2,0.0,fast,all,400,121,-2.25,30.25,678.59,-7.63,4.52,6/15,0.4,-10.31,-6.3
K1W8_CD_FS10-13_Gap0.20_Fav0.30_fast_all,8,CD,10-13,0.2,0.3,fast,all,400,121,-2.25,30.25,678.59,-7.63,4.52,6/15,0.4,-10.31,-6.3
K1W8_MTH_FS10-11_Gap0.20_Fav0.40_fast_all,8,MTH,10-11,0.2,0.4,fast,all,166,72,-2.27,43.37,473.16,-2.89,-0.56,6/15,0.4,-17.08,3.6
K1W8_CD_FS10-14_Gap0.10_Fav0.35_all_midlate,8,CD,10-14,0.1,0.35,all,midlate,476,141,-2.3,29.62,692.61,-11.12,11.56,6/15,0.4,-6.59,0.8
K1W8_KEE_FS11-12_Gap0.20_Fav0.35_all_all,8,KEE,11-12,0.2,0.35,all,all,183,45,-2.31,24.59,834.29,-8.01,4.41,6/15,0.4,-6.97,-3.7
K1W8_KEE_FS11-13_Gap0.20_Fav0.35_all_all,8,KEE,11-13,0.2,0.35,all,all,183,45,-2.31,24.59,834.29,-8.01,4.41,6/15,0.4,-6.97,-3.7
K1W7_CD_FS11-14_Gap0.05_Fav0.40_all_midlate,7,CD,11-14,0.05,0.4,all,midlate,151,34,-2.35,22.52,520.43,-22.47,26.53,6/15,0.4,-13.51,-3.7
K1W7_CD_FS11-14_Gap0.10_Fav0.40_all_midlate,7,CD,11-14,0.1,0.4,all,midlate,151,34,-2.35,22.52,520.43,-22.47,26.53,6/15,0.4,-13.51,-3.7
K1W8_KEE_FS10-13_Gap0.10_Fav0.30_all_all,8,KEE,10-13,0.1,0.3,all,all,578,148,-2.37,25.61,800.66,-3.17,-1.24,6/15,0.4,-5.51,-3.8
K1W7_CD_FS11-13_Gap0.20_Fav0.00_all_late,7,CD,11-13,0.2,0.0,all,late,189,39,-2.37,20.63,567.73,-6.94,4.41,6/15,0.4,-14.19,-6.9
K1W7_CD_FS11-13_Gap0.20_Fav0.30_all_late,7,CD,11-13,0.2,0.3,all,late,189,39,-2.37,20.63,567.73,-6.94,4.41,6/15,0.4,-14.19,-6.9
K1W7_CD_FS10-11_Gap0.22_Fav0.00_all_late,7,CD,10-11,0.22,0.0,all,late,143,39,-2.38,27.27,429.53,6.96,-14.93,6/15,0.4,-20.23,4.7
K1W7_CD_FS10-11_Gap0.22_Fav0.30_all_late,7,CD,10-11,0.22,0.3,all,late,143,39,-2.38,27.27,429.53,6.96,-14.93,6/15,0.4,-20.23,4.7
K1W7_CD_FS10-11_Gap0.22_Fav0.35_all_late,7,CD,10-11,0.22,0.35,all,late,143,39,-2.38,27.27,429.53,6.96,-14.93,6/15,0.4,-20.23,4.7
K1W7_CD_FS10-11_Gap0.22_Fav0.35_all_all,7,CD,10-11,0.22,0.35,all,all,255,69,-2.39,27.06,432.89,-7.48,3.44,6/15,0.4,-1.71,5.2
K1W8_AQU_FS10-14_Gap0.22_Fav0.00_all_midlate,8,AQU,10-14,0.22,0.0,all,midlate,204,74,-2.43,36.27,564.86,-11.85,17.27,6/15,0.4,-9.02,-3.3
K1W8_AQU_FS10-14_Gap0.22_Fav0.30_all_midlate,8,AQU,10-14,0.22,0.3,all,midlate,204,74,-2.43,36.27,564.86,-11.85,17.27,6/15,0.4,-9.02,-3.3
K1W8_AQU_FS10-14_Gap0.22_Fav0.35_all_midlate,8,AQU,10-14,0.22,0.35,all,midlate,204,74,-2.43,36.27,564.86,-11.85,17.27,6/15,0.4,-9.02,-3.3
K1W8_MTH_FS10-12_Gap0.10_Fav0.35_all_midlate,8,MTH,10-12,0.1,0.35,all,midlate,251,102,-2.47,40.64,503.99,-7.73,11.66,6/15,0.4,-10.39,5.5
K1W8_AQU_FS10-11_Gap0.20_Fav0.35_all_midlate,8,AQU,10-11,0.2,0.35,all,midlate,183,66,-2.49,36.07,567.78,-17.53,29.93,6/15,0.4,-17.55,-3.1
K1W7_CD_FS10-13_Gap0.25_Fav0.00_fast_late,7,CD,10-13,0.25,0.0,fast,late,144,38,-2.5,26.39,443.35,6.96,-18.27,6/15,0.4,-16.04,-2.7
K1W7_CD_FS10-13_Gap0.25_Fav0.30_fast_late,7,CD,10-13,0.25,0.3,fast,late,144,38,-2.5,26.39,443.35,6.96,-18.27,6/15,0.4,-16.04,-2.7
K1W7_CD_FS10-13_Gap0.25_Fav0.35_fast_late,7,CD,10-13,0.25,0.35,fast,late,144,38,-2.5,26.39,443.35,6.96,-18.27,6/15,0.4,-16.04,-2.7
K1W7_CD_FS10-14_Gap0.25_Fav0.00_fast_late,7,CD,10-14,0.25,0.0,fast,late,144,38,-2.5,26.39,443.35,6.96,-18.27,6/15,0.4,-16.04,-2.7
K1W7_CD_FS10-14_Gap0.25_Fav0.30_fast_late,7,CD,10-14,0.25,0.3,fast,late,144,38,-2.5,26.39,443.35,6.96,-18.27,6/15,0.4,-16.04,-2.7
K1W7_CD_FS10-14_Gap0.25_Fav0.35_fast_late,7,CD,10-14,0.25,0.35,fast,late,144,38,-2.5,26.39,443.35,6.96,-18.27,6/15,0.4,-16.04,-2.7
K1W7_AQU_FS10-11_Gap0.25_Fav0.40_fast_late,7,AQU,10-11,0.25,0.4,fast,late,52,20,-2.54,38.46,304.09,3.04,-16.29,6/15,0.4,-50.48,-12.4
K1W8_MTH_FS10-12_Gap0.22_Fav0.40_all_midlate,8,MTH,10-12,0.22,0.4,all,midlate,145,61,-2.57,42.07,486.35,-8.25,11.35,6/15,0.4,-25.71,9.6
K1W7_CD_FS11-13_Gap0.10_Fav0.30_fast_all,7,CD,11-13,0.1,0.3,fast,all,485,94,-2.59,19.38,603.11,-6.35,2.68,6/15,0.4,-18.14,-2.6
K1W8_AQU_FS10-11_Gap0.05_Fav0.40_fast_midlate,8,AQU,10-11,0.05,0.4,fast,midlate,112,44,-2.59,39.29,520.7,-23.14,53.58,6/15,0.4,-22.12,7.1
K1W8_AQU_FS10-11_Gap0.10_Fav0.40_fast_midlate,8,AQU,10-11,0.1,0.4,fast,midlate,112,44,-2.59,39.29,520.7,-23.14,53.58,6/15,0.4,-22.12,7.1
K1W7_CD_FS11-13_Gap0.22_Fav0.40_fast_all,7,CD,11-13,0.22,0.4,fast,all,155,33,-2.68,21.29,548.54,-18.86,19.14,6/15,0.4,-26.53,-4.5
K1W8_CD_FS10-14_Gap0.20_Fav0.35_all_all,8,CD,10-14,0.2,0.35,all,all,453,136,-2.71,30.02,680.5,-12.83,10.44,6/15,0.4,-20.59,-4.4
K1W8_KEE_FS10-13_Gap0.15_Fav0.00_fast_all,8,KEE,10-13,0.15,0.0,fast,all,388,92,-2.72,23.71,861.52,-5.03,1.64,6/15,0.4,-12.26,0.4
K1W8_AQU_FS10-12_Gap0.25_Fav0.40_all_midlate,8,AQU,10-12,0.25,0.4,all,midlate,130,49,-2.73,37.69,541.93,-14.33,31.35,6/15,0.4,-16.73,-0.7
K1W8_CD_FS10-12_Gap0.05_Fav0.00_all_midlate,8,CD,10-12,0.05,0.0,all,midlate,1448,340,-2.8,23.48,869.32,-11.82,11.18,6/15,0.4,-9.64,-1.2
K1W8_AQU_FS10-12_Gap0.15_Fav0.35_fast_late,8,AQU,10-12,0.15,0.35,fast,late,145,51,-2.8,35.17,580.34,-32.19,53.05,6/15,0.4,-14.18,18.7
K1W8_MTH_FS10-12_Gap0.15_Fav0.30_fast_midlate,8,MTH,10-12,0.15,0.3,fast,midlate,260,99,-2.84,38.08,535.87,-10.28,18.62,6/15,0.4,-22.67,-5.8
K1W7_CD_FS11-14_Gap0.15_Fav0.40_all_midlate,7,CD,11-14,0.15,0.4,all,midlate,150,33,-2.85,22.0,529.93,-23.54,26.53,6/15,0.4,-13.51,-3.2
K1W8_KEE_FS10-12_Gap0.10_Fav0.30_fast_midlate,8,KEE,10-12,0.1,0.3,fast,midlate,286,63,-2.88,22.03,925.88,2.23,-14.97,6/15,0.4,-42.87,-12.2
