Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W8_BEL_FS11-13_Gap0.22_Fav0.35_fast_all,8,BEL,11-13,0.22,0.35,fast,all,101,40,72.07,39.6,912.39,75.7,54.1,10/13,0.769,74.43,87.6
K1W7_BEL_FS11-12_Gap0.10_Fav0.35_all_midlate,7,BEL,11-12,0.1,0.35,all,midlate,152,43,71.44,28.29,727.21,50.03,185.6,10/13,0.769,28.51,92.4
K1W8_BEL_FS11-14_Gap0.22_Fav0.35_fast_all,8,BEL,11-14,0.22,0.35,fast,all,102,40,70.38,39.22,912.39,73.64,54.1,10/13,0.769,72.74,86.5
K1W7_BEL_FS11-12_Gap0.05_Fav0.35_all_midlate,7,BEL,11-12,0.05,0.35,all,midlate,153,43,70.32,28.1,727.21,50.03,174.18,10/13,0.769,28.51,88.3
K1W8_BEL_FS11-13_Gap0.22_Fav0.00_fast_all,8,BEL,11-13,0.22,0.0,fast,all,106,40,63.95,37.74,912.39,67.72,45.54,10/13,0.769,72.74,79.7
K1W8_BEL_FS11-13_Gap0.22_Fav0.30_fast_all,8,BEL,11-13,0.22,0.3,fast,all,106,40,63.95,37.74,912.39,67.72,45.54,10/13,0.769,72.74,79.7
K1W8_BEL_FS11-14_Gap0.22_Fav0.00_fast_all,8,BEL,11-14,0.22,0.0,fast,all,107,40,62.42,37.38,912.39,65.83,45.54,10/13,0.769,72.74,78.8
K1W8_BEL_FS11-14_Gap0.22_Fav0.30_fast_all,8,BEL,11-14,0.22,0.3,fast,all,107,40,62.42,37.38,912.39,65.83,45.54,10/13,0.769,72.74,78.8
K1W8_BEL_FS11-13_Gap0.20_Fav0.00_fast_midlate,8,BEL,11-13,0.2,0.0,fast,midlate,105,39,61.4,37.14,912.51,56.04,87.27,10/13,0.769,53.21,75.3
K1W8_BEL_FS11-13_Gap0.20_Fav0.30_fast_midlate,8,BEL,11-13,0.2,0.3,fast,midlate,105,39,61.4,37.14,912.51,56.04,87.27,10/13,0.769,53.21,75.3
K1W8_BEL_FS11-14_Gap0.20_Fav0.00_fast_midlate,8,BEL,11-14,0.2,0.0,fast,midlate,106,39,59.87,36.79,912.51,54.27,87.27,10/13,0.769,53.21,74.4
K1W8_BEL_FS11-14_Gap0.20_Fav0.30_fast_midlate,8,BEL,11-14,0.2,0.3,fast,midlate,106,39,59.87,36.79,912.51,54.27,87.27,10/13,0.769,53.21,74.4
K1W8_BEL_FS11-13_Gap0.20_Fav0.35_fast_all,8,BEL,11-13,0.2,0.35,fast,all,116,46,57.62,39.66,834.71,60.15,45.47,10/13,0.769,53.54,66.8
K1W8_BEL_FS11-14_Gap0.20_Fav0.35_fast_all,8,BEL,11-14,0.2,0.35,fast,all,117,46,56.28,39.32,834.71,58.5,45.47,10/13,0.769,52.73,65.8
K1W8_BEL_FS10-12_Gap0.22_Fav0.40_fast_midlate,8,BEL,10-12,0.22,0.4,fast,midlate,114,51,52.73,44.74,716.95,42.74,113.96,10/13,0.769,19.74,77.1
K1W8_BEL_FS10-12_Gap0.20_Fav0.40_fast_midlate,8,BEL,10-12,0.2,0.4,fast,midlate,117,53,50.69,45.3,698.58,41.32,105.8,10/13,0.769,19.74,75.3
K1W8_BEL_FS10-13_Gap0.22_Fav0.40_fast_midlate,8,BEL,10-13,0.22,0.4,fast,midlate,117,51,48.82,43.59,716.95,39.88,101.37,10/13,0.769,16.5,74.4
K1W8_BEL_FS10-12_Gap0.15_Fav0.40_fast_midlate,8,BEL,10-12,0.15,0.4,fast,midlate,119,53,48.16,44.54,698.58,38.55,105.8,10/13,0.769,19.74,73.9
K1W8_BEL_FS11-13_Gap0.20_Fav0.00_fast_all,8,BEL,11-13,0.2,0.0,fast,all,127,48,48.07,37.8,822.71,47.83,49.12,10/13,0.769,52.73,54.0
K1W8_BEL_FS11-13_Gap0.20_Fav0.30_fast_all,8,BEL,11-13,0.2,0.3,fast,all,127,48,48.07,37.8,822.71,47.83,49.12,10/13,0.769,52.73,54.0
K1W8_BEL_FS10-14_Gap0.22_Fav0.40_fast_midlate,8,BEL,10-14,0.22,0.4,fast,midlate,118,51,47.56,43.22,716.95,38.5,101.37,10/13,0.769,16.5,73.5
K1W8_BEL_FS10-12_Gap0.05_Fav0.40_fast_midlate,8,BEL,10-12,0.05,0.4,fast,midlate,120,54,47.22,45.0,687.04,37.56,105.8,10/13,0.769,19.74,73.2
K1W8_BEL_FS10-12_Gap0.10_Fav0.40_fast_midlate,8,BEL,10-12,0.1,0.4,fast,midlate,120,54,47.22,45.0,687.04,37.56,105.8,10/13,0.769,19.74,73.2
K1W8_BEL_FS10-13_Gap0.20_Fav0.40_fast_midlate,8,BEL,10-13,0.2,0.4,fast,midlate,120,53,46.92,44.17,698.58,38.55,94.36,10/13,0.769,16.5,72.6
K1W8_BEL_FS11-14_Gap0.20_Fav0.00_fast_all,8,BEL,11-14,0.2,0.0,fast,all,128,48,46.91,37.5,822.71,46.43,49.12,10/13,0.769,52.73,53.3
K1W8_BEL_FS11-14_Gap0.20_Fav0.30_fast_all,8,BEL,11-14,0.2,0.3,fast,all,128,48,46.91,37.5,822.71,46.43,49.12,10/13,0.769,52.73,53.3
K1W8_BEL_FS10-14_Gap0.20_Fav0.40_fast_midlate,8,BEL,10-14,0.2,0.4,fast,midlate,121,53,45.71,43.8,698.58,37.21,94.36,10/13,0.769,16.5,71.7
K1W8_BEL_FS10-13_Gap0.15_Fav0.40_fast_midlate,8,BEL,10-13,0.15,0.4,fast,midlate,122,53,44.51,43.44,698.58,35.89,94.36,10/13,0.769,16.5,71.2
K1W8_BEL_FS10-12_Gap0.25_Fav0.40_fast_midlate,8,BEL,10-12,0.25,0.4,fast,midlate,103,48,44.17,46.6,649.65,30.61,130.35,10/13,0.769,19.74,73.9
K1W8_BEL_FS10-13_Gap0.05_Fav0.40_fast_midlate,8,BEL,10-13,0.05,0.4,fast,midlate,123,54,43.63,43.9,687.04,34.94,94.36,10/13,0.769,16.5,70.5
K1W8_BEL_FS10-13_Gap0.10_Fav0.40_fast_midlate,8,BEL,10-13,0.1,0.4,fast,midlate,123,54,43.63,43.9,687.04,34.94,94.36,10/13,0.769,16.5,70.5
