Strategy,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears
K1W7_BEL_FS11-13_Gap0.22_Fav0.00_fast_midlate,11-13,0.22,0.0,fast,midlate,90,26,121.87,28.89,921.62,105.92,216.35,77,13,9/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.30_fast_midlate,11-13,0.22,0.3,fast,midlate,90,26,121.87,28.89,921.62,105.92,216.35,77,13,9/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.33_fast_midlate,11-13,0.22,0.33,fast,midlate,90,26,121.87,28.89,921.62,105.92,216.35,77,13,9/13
K1W7_BEL_FS11-12_Gap0.20_Fav0.40_fast_all,11-12,0.2,0.4,fast,all,76,27,120.73,35.53,745.56,94.18,262.29,64,12,8/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.00_fast_midlate,11-14,0.22,0.0,fast,midlate,91,26,119.43,28.57,921.62,103.28,216.35,78,13,9/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.30_fast_midlate,11-14,0.22,0.3,fast,midlate,91,26,119.43,28.57,921.62,103.28,216.35,78,13,9/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.33_fast_midlate,11-14,0.22,0.33,fast,midlate,91,26,119.43,28.57,921.62,103.28,216.35,78,13,9/13
K1W7_BEL_FS11-12_Gap0.18_Fav0.37_fast_midlate,11-12,0.18,0.37,fast,midlate,88,29,119.01,32.95,797.51,94.1,262.77,75,13,10/13
K1W7_BEL_FS11-12_Gap0.15_Fav0.40_fast_all,11-12,0.15,0.4,fast,all,77,27,117.86,35.06,745.56,91.19,262.29,65,12,8/13
K1W7_BEL_FS11-12_Gap0.18_Fav0.40_fast_all,11-12,0.18,0.4,fast,all,77,27,117.86,35.06,745.56,91.19,262.29,65,12,8/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.37_fast_midlate,11-13,0.2,0.37,fast,midlate,87,28,117.33,32.18,810.32,96.72,234.63,74,13,10/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.35_fast_midlate,11-13,0.2,0.35,fast,midlate,96,30,116.97,31.25,833.18,100.13,207.96,81,15,9/13
K1W7_BEL_FS11-12_Gap0.05_Fav0.40_fast_all,11-12,0.05,0.4,fast,all,78,28,115.87,35.9,721.63,89.25,262.29,66,12,8/13
K1W7_BEL_FS11-12_Gap0.08_Fav0.40_fast_all,11-12,0.08,0.4,fast,all,78,28,115.87,35.9,721.63,89.25,262.29,66,12,8/13
K1W7_BEL_FS11-12_Gap0.10_Fav0.40_fast_all,11-12,0.1,0.4,fast,all,78,28,115.87,35.9,721.63,89.25,262.29,66,12,8/13
K1W7_BEL_FS11-12_Gap0.12_Fav0.40_fast_all,11-12,0.12,0.4,fast,all,78,28,115.87,35.9,721.63,89.25,262.29,66,12,8/13
K1W7_BEL_FS11-12_Gap0.14_Fav0.40_fast_all,11-12,0.14,0.4,fast,all,78,28,115.87,35.9,721.63,89.25,262.29,66,12,8/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.37_fast_midlate,11-14,0.2,0.37,fast,midlate,88,28,114.86,31.82,810.32,94.1,234.63,75,13,10/13
