Strategy,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears
K1W7_BEL_FS11-12_Gap0.14_Fav0.35_fast_late,11-12,0.14,0.35,fast,late,83,26,44.66,31.33,554.18,5.27,256.78,70,13,6/13
K1W7_BEL_FS11-14_Gap0.10_Fav0.33_all_all,11-14,0.1,0.33,all,all,240,62,44.61,25.83,671.76,32.88,94.09,194,46,8/13
K1W7_BEL_FS10-12_Gap0.22_Fav0.00_fast_late,10-12,0.22,0.0,fast,late,86,29,44.61,33.72,514.62,9.67,260.07,74,12,7/13
K1W7_BEL_FS10-12_Gap0.22_Fav0.30_fast_late,10-12,0.22,0.3,fast,late,86,29,44.61,33.72,514.62,9.67,260.07,74,12,7/13
K1W7_BEL_FS10-12_Gap0.22_Fav0.33_fast_late,10-12,0.22,0.33,fast,late,86,29,44.61,33.72,514.62,9.67,260.07,74,12,7/13
K1W7_BEL_FS10-13_Gap0.22_Fav0.00_all_midlate,10-13,0.22,0.0,all,midlate,191,56,44.6,29.32,591.82,36.06,90.42,161,30,9/13
K1W7_BEL_FS10-13_Gap0.22_Fav0.30_all_midlate,10-13,0.22,0.3,all,midlate,191,56,44.6,29.32,591.82,36.06,90.42,161,30,9/13
K1W7_BEL_FS10-13_Gap0.22_Fav0.33_all_midlate,10-13,0.22,0.33,all,midlate,191,56,44.6,29.32,591.82,36.06,90.42,161,30,9/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.37_all_midlate,10-14,0.22,0.37,all,midlate,179,54,44.55,30.17,574.97,33.24,108.18,152,27,9/13
K1W7_BEL_FS10-11_Gap0.25_Fav0.40_fast_midlate,10-11,0.25,0.4,fast,midlate,76,29,44.47,38.16,454.32,-2.9,324.33,65,11,7/13
K1W7_BEL_FS10-14_Gap0.15_Fav0.35_fast_midlate,10-14,0.15,0.35,fast,midlate,207,61,44.41,29.47,588.07,33.74,102.76,175,32,9/13
K1W7_BEL_FS11-12_Gap0.25_Fav0.42_all_midlate,11-12,0.25,0.42,all,midlate,59,18,44.41,30.51,568.01,-9.35,443.77,52,7,5/12
K1W7_BEL_FS10-14_Gap0.22_Fav0.00_fast_all,10-14,0.22,0.0,fast,all,191,57,44.4,29.84,580.65,40.46,63.28,158,33,9/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.30_fast_all,10-14,0.22,0.3,fast,all,191,57,44.4,29.84,580.65,40.46,63.28,158,33,9/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.33_fast_all,10-14,0.22,0.33,fast,all,191,57,44.4,29.84,580.65,40.46,63.28,158,33,9/13
K1W7_BEL_FS11-13_Gap0.05_Fav0.42_fast_all,11-13,0.05,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.08_Fav0.42_fast_all,11-13,0.08,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.10_Fav0.42_fast_all,11-13,0.1,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.12_Fav0.42_fast_all,11-13,0.12,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.14_Fav0.42_fast_all,11-13,0.14,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.42_fast_all,11-13,0.15,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.18_Fav0.42_fast_all,11-13,0.18,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.42_fast_all,11-13,0.2,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.42_fast_all,11-13,0.22,0.42,fast,all,64,19,44.35,29.69,583.48,1.32,251.7,53,11,6/13
K1W7_BEL_FS10-12_Gap0.18_Fav0.33_fast_late,10-12,0.18,0.33,fast,late,125,43,44.34,34.4,503.51,15.31,196.74,105,20,8/13
K1W7_BEL_FS10-14_Gap0.05_Fav0.40_all_midlate,10-14,0.05,0.4,all,midlate,157,51,44.31,32.48,533.11,29.41,135.79,135,22,8/13
K1W7_BEL_FS10-14_Gap0.08_Fav0.40_all_midlate,10-14,0.08,0.4,all,midlate,157,51,44.31,32.48,533.11,29.41,135.79,135,22,8/13
K1W7_BEL_FS10-14_Gap0.10_Fav0.40_all_midlate,10-14,0.1,0.4,all,midlate,157,51,44.31,32.48,533.11,29.41,135.79,135,22,8/13
K1W7_BEL_FS10-14_Gap0.12_Fav0.40_all_midlate,10-14,0.12,0.4,all,midlate,157,51,44.31,32.48,533.11,29.41,135.79,135,22,8/13
K1W7_BEL_FS10-14_Gap0.14_Fav0.40_all_midlate,10-14,0.14,0.4,all,midlate,157,51,44.31,32.48,533.11,29.41,135.79,135,22,8/13
K1W7_BEL_FS10-11_Gap0.18_Fav0.00_fast_late,10-11,0.18,0.0,fast,late,90,33,44.29,36.67,472.23,3.95,283.28,77,13,7/13
K1W7_BEL_FS10-11_Gap0.18_Fav0.30_fast_late,10-11,0.18,0.3,fast,late,90,33,44.29,36.67,472.23,3.95,283.28,77,13,7/13
K1W7_BEL_FS10-12_Gap0.22_Fav0.35_all_midlate,10-12,0.22,0.35,all,midlate,180,55,44.25,30.56,566.52,33.24,104.02,152,28,9/13
K1W7_BEL_FS11-14_Gap0.18_Fav0.37_all_late,11-14,0.18,0.37,all,late,75,25,44.2,33.33,519.1,-2.2,246.35,61,14,5/13
K1W7_BEL_FS11-12_Gap0.12_Fav0.33_all_all,11-12,0.12,0.33,all,all,228,60,44.19,26.32,657.51,29.44,107.63,185,43,9/13
K1W7_BEL_FS10-14_Gap0.20_Fav0.35_all_midlate,10-14,0.2,0.35,all,midlate,216,66,44.17,30.56,566.2,37.69,77.7,181,35,9/13
K1W7_BEL_FS11-14_Gap0.14_Fav0.00_fast_midlate,11-14,0.14,0.0,fast,midlate,190,42,44.15,22.11,782.54,32.24,110.27,161,29,9/13
K1W7_BEL_FS10-12_Gap0.22_Fav0.35_fast_all,10-12,0.22,0.35,fast,all,180,56,44.04,31.11,555.6,37.85,73.81,149,31,8/13
K1W7_BEL_FS11-12_Gap0.18_Fav0.00_all_late,11-12,0.18,0.0,all,late,112,33,43.92,29.46,586.13,-1.23,228.61,90,22,6/13
K1W7_BEL_FS11-12_Gap0.18_Fav0.30_all_late,11-12,0.18,0.3,all,late,112,33,43.92,29.46,586.13,-1.23,228.61,90,22,6/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.35_all_late,10-14,0.22,0.35,all,late,108,35,43.91,32.41,532.89,16.76,200.05,92,16,8/13
K1W7_BEL_FS10-14_Gap0.18_Fav0.35_all_late,10-14,0.18,0.35,all,late,147,48,43.81,32.65,528.49,14.11,175.78,120,27,8/13
K1W7_BEL_FS11-12_Gap0.14_Fav0.33_fast_late,11-12,0.14,0.33,fast,late,93,28,43.7,30.11,572.75,9.21,209.7,77,16,6/13
K1W7_BEL_FS10-13_Gap0.20_Fav0.35_fast_all,10-13,0.2,0.35,fast,all,209,67,43.67,32.06,537.78,39.76,61.26,171,38,9/13
K1W7_BEL_FS10-14_Gap0.18_Fav0.00_fast_late,10-14,0.18,0.0,fast,late,139,45,43.63,32.37,532.4,20.95,158.03,116,23,8/13
K1W7_BEL_FS10-11_Gap0.15_Fav0.37_all_late,10-11,0.15,0.37,all,late,88,32,43.54,36.36,473.7,-0.54,258.07,73,15,7/13
K1W7_BEL_FS11-14_Gap0.05_Fav0.40_all_late,11-14,0.05,0.4,all,late,53,18,43.53,33.96,507.13,-19.35,456.73,46,7,8/13
K1W7_BEL_FS11-14_Gap0.08_Fav0.40_all_late,11-14,0.08,0.4,all,late,53,18,43.53,33.96,507.13,-19.35,456.73,46,7,8/13
K1W7_BEL_FS11-14_Gap0.10_Fav0.40_all_late,11-14,0.1,0.4,all,late,53,18,43.53,33.96,507.13,-19.35,456.73,46,7,8/13
K1W7_BEL_FS11-14_Gap0.12_Fav0.40_all_late,11-14,0.12,0.4,all,late,53,18,43.53,33.96,507.13,-19.35,456.73,46,7,8/13
K1W7_BEL_FS11-14_Gap0.14_Fav0.40_all_late,11-14,0.14,0.4,all,late,53,18,43.53,33.96,507.13,-19.35,456.73,46,7,8/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.40_all_late,11-14,0.15,0.4,all,late,53,18,43.53,33.96,507.13,-19.35,456.73,46,7,8/13
K1W7_BEL_FS11-14_Gap0.18_Fav0.40_all_late,11-14,0.18,0.4,all,late,53,18,43.53,33.96,507.13,-19.35,456.73,46,7,8/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.30_all_midlate,11-13,0.15,0.3,all,midlate,213,49,43.48,23.0,748.45,26.56,121.39,175,38,8/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.40_all_late,10-12,0.25,0.4,all,late,76,28,43.48,36.84,467.34,-0.37,369.91,67,9,5/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.33_all_late,11-13,0.15,0.33,all,late,124,34,43.32,27.42,627.23,7.57,178.05,98,26,6/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.37_all_late,11-14,0.2,0.37,all,late,73,24,43.13,32.88,522.44,-0.57,244.85,60,13,5/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.00_all_midlate,10-14,0.22,0.0,all,midlate,193,56,43.1,29.02,591.82,34.39,90.42,163,30,9/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.30_all_midlate,10-14,0.22,0.3,all,midlate,193,56,43.1,29.02,591.82,34.39,90.42,163,30,9/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.33_all_midlate,10-14,0.22,0.33,all,midlate,193,56,43.1,29.02,591.82,34.39,90.42,163,30,9/13
K1W7_BEL_FS11-12_Gap0.10_Fav0.33_all_all,11-12,0.1,0.33,all,all,231,61,43.09,26.41,650.25,29.71,98.41,186,45,9/13
K1W7_BEL_FS10-12_Gap0.15_Fav0.37_fast_late,10-12,0.15,0.37,fast,late,99,35,43.07,35.35,485.61,4.78,275.49,85,14,7/13
K1W7_BEL_FS10-12_Gap0.20_Fav0.37_all_midlate,10-12,0.2,0.37,all,midlate,191,60,43.04,31.41,546.4,33.3,95.29,161,30,9/13
K1W7_BEL_FS10-14_Gap0.20_Fav0.35_fast_all,10-14,0.2,0.35,fast,all,210,67,42.98,31.9,537.78,38.94,61.26,172,38,9/13
K1W7_BEL_FS11-12_Gap0.05_Fav0.35_fast_late,11-12,0.05,0.35,fast,late,84,26,42.94,30.95,554.18,5.27,231.29,70,14,6/13
K1W7_BEL_FS11-12_Gap0.08_Fav0.35_fast_late,11-12,0.08,0.35,fast,late,84,26,42.94,30.95,554.18,5.27,231.29,70,14,6/13
K1W7_BEL_FS10-12_Gap0.18_Fav0.37_fast_all,10-12,0.18,0.37,fast,all,199,66,42.92,33.17,517.1,32.63,92.86,165,34,8/13
K1W7_BEL_FS11-13_Gap0.25_Fav0.00_all_late,11-13,0.25,0.0,all,late,52,17,42.92,32.69,524.58,-18.53,437.92,45,7,6/13
K1W7_BEL_FS11-13_Gap0.25_Fav0.30_all_late,11-13,0.25,0.3,all,late,52,17,42.92,32.69,524.58,-18.53,437.92,45,7,6/13
K1W7_BEL_FS11-13_Gap0.25_Fav0.33_all_late,11-13,0.25,0.33,all,late,52,17,42.92,32.69,524.58,-18.53,437.92,45,7,6/13
K1W7_BEL_FS11-13_Gap0.25_Fav0.35_all_late,11-13,0.25,0.35,all,late,52,17,42.92,32.69,524.58,-18.53,437.92,45,7,6/13
K1W7_BEL_FS11-13_Gap0.25_Fav0.37_all_late,11-13,0.25,0.37,all,late,52,17,42.92,32.69,524.58,-18.53,437.92,45,7,6/13
K1W7_BEL_FS11-14_Gap0.05_Fav0.33_all_all,11-14,0.05,0.33,all,all,243,62,42.83,25.51,671.76,31.53,89.96,196,47,8/13
K1W7_BEL_FS11-14_Gap0.08_Fav0.33_all_all,11-14,0.08,0.33,all,all,243,62,42.83,25.51,671.76,31.53,89.96,196,47,8/13
K1W7_BEL_FS11-14_Gap0.25_Fav0.40_all_all,11-14,0.25,0.4,all,all,91,28,42.83,30.77,557.02,14.83,210.78,78,13,6/13
K1W7_BEL_FS10-13_Gap0.20_Fav0.37_fast_all,10-13,0.2,0.37,fast,all,192,62,42.82,32.29,530.74,36.19,74.76,159,33,8/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.30_fast_all,11-14,0.15,0.3,fast,all,199,48,42.78,24.12,710.35,31.69,96.6,165,34,9/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.00_fast_all,11-13,0.15,0.0,fast,all,203,49,42.72,24.14,709.53,32.67,90.99,168,35,9/13
K1W7_BEL_FS10-12_Gap0.20_Fav0.35_fast_late,10-12,0.2,0.35,fast,late,97,35,42.55,36.08,474.08,9.75,221.84,82,15,7/13
K1W7_BEL_FS10-11_Gap0.20_Fav0.35_all_late,10-11,0.2,0.35,all,late,87,32,42.44,36.78,464.71,2.14,235.9,72,15,7/13
K1W7_BEL_FS10-12_Gap0.18_Fav0.00_fast_midlate,10-12,0.18,0.0,fast,midlate,214,64,42.34,29.91,571.14,31.03,94.72,176,38,9/13
K1W7_BEL_FS10-12_Gap0.18_Fav0.30_fast_midlate,10-12,0.18,0.3,fast,midlate,214,64,42.34,29.91,571.14,31.03,94.72,176,38,9/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.00_fast_all,10-12,0.25,0.0,fast,all,137,47,42.3,34.31,497.76,28.34,111.49,114,23,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.30_fast_all,10-12,0.25,0.3,fast,all,137,47,42.3,34.31,497.76,28.34,111.49,114,23,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.33_fast_all,10-12,0.25,0.33,fast,all,137,47,42.3,34.31,497.76,28.34,111.49,114,23,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.35_fast_all,10-12,0.25,0.35,fast,all,137,47,42.3,34.31,497.76,28.34,111.49,114,23,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.37_fast_all,10-12,0.25,0.37,fast,all,137,47,42.3,34.31,497.76,28.34,111.49,114,23,6/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.33_all_late,11-14,0.15,0.33,all,late,125,34,42.17,27.2,627.23,6.49,178.05,99,26,6/13
K1W7_BEL_FS11-14_Gap0.05_Fav0.42_fast_all,11-14,0.05,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.08_Fav0.42_fast_all,11-14,0.08,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.10_Fav0.42_fast_all,11-14,0.1,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.12_Fav0.42_fast_all,11-14,0.12,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.14_Fav0.42_fast_all,11-14,0.14,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.42_fast_all,11-14,0.15,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.18_Fav0.42_fast_all,11-14,0.18,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.42_fast_all,11-14,0.2,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.42_fast_all,11-14,0.22,0.42,fast,all,65,19,42.13,29.23,583.48,-0.56,251.7,54,11,6/13
K1W7_BEL_FS10-14_Gap0.20_Fav0.37_fast_all,10-14,0.2,0.37,fast,all,193,62,42.08,32.12,530.74,35.34,74.76,160,33,8/13
K1W7_BEL_FS10-13_Gap0.12_Fav0.35_fast_midlate,10-13,0.12,0.35,fast,midlate,211,62,41.97,29.38,579.8,31.11,102.76,179,32,9/13
K1W7_BEL_FS10-13_Gap0.14_Fav0.35_fast_midlate,10-13,0.14,0.35,fast,midlate,211,62,41.97,29.38,579.8,31.11,102.76,179,32,9/13
K1W7_BEL_FS10-11_Gap0.12_Fav0.37_all_late,10-11,0.12,0.37,all,late,89,32,41.93,35.96,473.7,-1.88,258.07,74,15,7/13
K1W7_BEL_FS10-11_Gap0.14_Fav0.37_all_late,10-11,0.14,0.37,all,late,89,32,41.93,35.96,473.7,-1.88,258.07,74,15,7/13
K1W7_BEL_FS10-13_Gap0.10_Fav0.35_fast_midlate,10-13,0.1,0.35,fast,midlate,214,64,41.81,29.91,568.99,31.81,96.62,181,33,9/13
K1W7_BEL_FS10-12_Gap0.18_Fav0.35_all_midlate,10-12,0.18,0.35,all,midlate,238,73,41.76,30.67,554.61,29.5,98.99,196,42,9/13
K1W7_BEL_FS11-12_Gap0.14_Fav0.30_fast_midlate,11-12,0.14,0.3,fast,midlate,169,39,41.75,23.08,737.12,25.76,125.85,142,27,9/13
K1W7_BEL_FS10-13_Gap0.15_Fav0.37_fast_late,10-13,0.15,0.37,fast,late,100,35,41.64,35.0,485.61,4.78,250.46,85,15,7/13
K1W7_BEL_FS10-13_Gap0.25_Fav0.40_all_late,10-13,0.25,0.4,all,late,77,28,41.62,36.36,467.34,-0.37,322.92,67,10,5/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.00_all_midlate,10-12,0.25,0.0,all,midlate,137,47,41.54,34.31,495.08,23.38,161.59,119,18,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.30_all_midlate,10-12,0.25,0.3,all,midlate,137,47,41.54,34.31,495.08,23.38,161.59,119,18,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.33_all_midlate,10-12,0.25,0.33,all,midlate,137,47,41.54,34.31,495.08,23.38,161.59,119,18,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.35_all_midlate,10-12,0.25,0.35,all,midlate,137,47,41.54,34.31,495.08,23.38,161.59,119,18,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.37_all_midlate,10-12,0.25,0.37,all,midlate,137,47,41.54,34.31,495.08,23.38,161.59,119,18,6/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.30_all_midlate,11-14,0.15,0.3,all,midlate,216,49,41.49,22.69,748.45,24.43,121.39,178,38,8/13
K1W7_BEL_FS11-12_Gap0.14_Fav0.00_fast_midlate,11-12,0.14,0.0,fast,midlate,182,41,41.41,22.53,753.25,27.52,117.78,154,28,9/13
K1W7_BEL_FS11-13_Gap0.12_Fav0.30_fast_midlate,11-13,0.12,0.3,fast,midlate,189,43,41.33,22.75,745.44,28.28,105.36,157,32,9/13
K1W7_BEL_FS10-13_Gap0.18_Fav0.35_fast_all,10-13,0.18,0.35,fast,all,233,74,41.32,31.76,533.98,35.47,68.73,192,41,8/13
K1W7_BEL_FS10-14_Gap0.12_Fav0.35_fast_midlate,10-14,0.12,0.35,fast,midlate,212,62,41.3,29.25,579.8,30.38,102.76,180,32,9/13
K1W7_BEL_FS10-14_Gap0.14_Fav0.35_fast_midlate,10-14,0.14,0.35,fast,midlate,212,62,41.3,29.25,579.8,30.38,102.76,180,32,9/13
K1W7_BEL_FS10-13_Gap0.22_Fav0.00_all_late,10-13,0.22,0.0,all,late,110,35,41.3,31.82,532.89,15.5,182.4,93,17,8/13
K1W7_BEL_FS10-13_Gap0.22_Fav0.30_all_late,10-13,0.22,0.3,all,late,110,35,41.3,31.82,532.89,15.5,182.4,93,17,8/13
K1W7_BEL_FS10-13_Gap0.22_Fav0.33_all_late,10-13,0.22,0.33,all,late,110,35,41.3,31.82,532.89,15.5,182.4,93,17,8/13
K1W7_BEL_FS11-12_Gap0.05_Fav0.33_all_all,11-12,0.05,0.33,all,all,234,61,41.26,26.07,650.25,28.33,94.09,188,46,9/13
K1W7_BEL_FS11-12_Gap0.08_Fav0.33_all_all,11-12,0.08,0.33,all,all,234,61,41.26,26.07,650.25,28.33,94.09,188,46,9/13
K1W7_BEL_FS10-13_Gap0.20_Fav0.33_all_midlate,10-13,0.2,0.33,all,midlate,227,68,41.2,29.96,565.62,32.56,82.83,188,39,9/13
K1W7_BEL_FS10-14_Gap0.10_Fav0.35_fast_midlate,10-14,0.1,0.35,fast,midlate,215,64,41.15,29.77,568.99,31.09,96.62,182,33,9/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.42_fast_midlate,10-12,0.25,0.42,fast,midlate,89,31,41.07,34.83,486.0,3.78,259.05,76,13,7/13
K1W7_BEL_FS10-13_Gap0.15_Fav0.35_fast_late,10-13,0.15,0.35,fast,late,130,42,41.06,32.31,523.95,15.64,180.88,110,20,8/13
K1W7_BEL_FS11-12_Gap0.15_Fav0.30_fast_all,11-12,0.15,0.3,fast,all,190,47,40.85,24.74,683.26,27.88,102.56,157,33,9/13
K1W7_BEL_FS10-13_Gap0.20_Fav0.37_all_midlate,10-13,0.2,0.37,all,midlate,194,60,40.82,30.93,546.4,31.66,88.99,163,31,8/13
K1W7_BEL_FS10-13_Gap0.18_Fav0.37_fast_all,10-13,0.18,0.37,fast,all,202,66,40.79,32.67,517.1,31.04,87.35,167,35,8/13
K1W7_BEL_FS10-12_Gap0.20_Fav0.40_all_late,10-12,0.2,0.4,all,late,84,31,40.48,36.9,456.78,0.53,336.08,74,10,6/13
K1W7_BEL_FS11-12_Gap0.15_Fav0.37_all_late,11-12,0.15,0.37,all,late,77,25,40.45,32.47,519.1,-6.79,272.99,64,13,5/13
K1W7_BEL_FS10-12_Gap0.20_Fav0.35_all_midlate,10-12,0.2,0.35,all,midlate,210,65,40.42,30.95,544.4,32.21,82.92,176,34,9/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.00_all_late,10-12,0.25,0.0,all,late,81,29,40.4,35.8,470.59,0.61,322.92,71,10,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.30_all_late,10-12,0.25,0.3,all,late,81,29,40.4,35.8,470.59,0.61,322.92,71,10,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.33_all_late,10-12,0.25,0.33,all,late,81,29,40.4,35.8,470.59,0.61,322.92,71,10,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.35_all_late,10-12,0.25,0.35,all,late,81,29,40.4,35.8,470.59,0.61,322.92,71,10,6/13
K1W7_BEL_FS10-12_Gap0.25_Fav0.37_all_late,10-12,0.25,0.37,all,late,81,29,40.4,35.8,470.59,0.61,322.92,71,10,6/13
K1W7_BEL_FS11-12_Gap0.15_Fav0.35_all_late,11-12,0.15,0.35,all,late,102,30,40.35,29.41,572.63,-6.56,259.25,84,18,6/13
K1W7_BEL_FS10-11_Gap0.10_Fav0.37_all_late,10-11,0.1,0.37,all,late,90,32,40.35,35.56,473.7,-1.88,235.69,74,16,7/13
K1W7_BEL_FS10-12_Gap0.18_Fav0.37_all_midlate,10-12,0.18,0.37,all,midlate,202,64,40.29,31.68,531.35,29.11,95.55,168,34,9/13
K1W7_BEL_FS10-12_Gap0.12_Fav0.37_fast_late,10-12,0.12,0.37,fast,late,101,35,40.23,34.65,485.61,2.38,275.49,87,14,7/13
K1W7_BEL_FS10-12_Gap0.14_Fav0.37_fast_late,10-12,0.14,0.37,fast,late,101,35,40.23,34.65,485.61,2.38,275.49,87,14,7/13
K1W7_BEL_FS10-14_Gap0.15_Fav0.37_fast_late,10-14,0.15,0.37,fast,late,101,35,40.23,34.65,485.61,3.57,250.46,86,15,7/13
K1W7_BEL_FS11-14_Gap0.25_Fav0.00_all_late,11-14,0.25,0.0,all,late,53,17,40.22,32.08,524.58,-20.3,437.92,46,7,6/13
K1W7_BEL_FS11-14_Gap0.25_Fav0.30_all_late,11-14,0.25,0.3,all,late,53,17,40.22,32.08,524.58,-20.3,437.92,46,7,6/13
K1W7_BEL_FS11-14_Gap0.25_Fav0.33_all_late,11-14,0.25,0.33,all,late,53,17,40.22,32.08,524.58,-20.3,437.92,46,7,6/13
K1W7_BEL_FS11-14_Gap0.25_Fav0.35_all_late,11-14,0.25,0.35,all,late,53,17,40.22,32.08,524.58,-20.3,437.92,46,7,6/13
K1W7_BEL_FS11-14_Gap0.25_Fav0.37_all_late,11-14,0.25,0.37,all,late,53,17,40.22,32.08,524.58,-20.3,437.92,46,7,6/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.00_all_midlate,11-13,0.15,0.0,all,midlate,222,50,40.18,22.52,746.88,24.08,115.72,183,39,8/13
K1W7_BEL_FS10-14_Gap0.18_Fav0.35_fast_all,10-14,0.18,0.35,fast,all,235,74,40.12,31.49,533.98,34.08,68.73,194,41,8/13
K1W7_BEL_FS10-14_Gap0.18_Fav0.37_fast_all,10-14,0.18,0.37,fast,all,203,66,40.1,32.51,517.1,30.26,87.35,168,35,8/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.00_all_late,10-14,0.22,0.0,all,late,111,35,40.02,31.53,532.89,14.27,182.4,94,17,8/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.30_all_late,10-14,0.22,0.3,all,late,111,35,40.02,31.53,532.89,14.27,182.4,94,17,8/13
K1W7_BEL_FS10-14_Gap0.22_Fav0.33_all_late,10-14,0.22,0.33,all,late,111,35,40.02,31.53,532.89,14.27,182.4,94,17,8/13
K1W7_BEL_FS10-14_Gap0.15_Fav0.35_fast_late,10-14,0.15,0.35,fast,late,131,42,39.99,32.06,523.95,14.6,180.88,111,20,8/13
K1W7_BEL_FS10-13_Gap0.20_Fav0.00_all_midlate,10-13,0.2,0.0,all,midlate,229,68,39.96,29.69,565.62,31.17,82.83,190,39,9/13
K1W7_BEL_FS10-13_Gap0.20_Fav0.30_all_midlate,10-13,0.2,0.3,all,midlate,229,68,39.96,29.69,565.62,31.17,82.83,190,39,9/13
K1W7_BEL_FS10-14_Gap0.20_Fav0.33_all_midlate,10-14,0.2,0.33,all,midlate,229,68,39.96,29.69,565.62,31.17,82.83,190,39,9/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.00_fast_all,11-14,0.15,0.0,fast,all,207,49,39.96,23.67,709.53,29.58,90.99,172,35,9/13
K1W7_BEL_FS9-12_Gap0.14_Fav0.40_fast_midlate,9-12,0.14,0.4,fast,midlate,200,75,39.94,37.5,447.8,32.18,76.5,165,35,8/13
K1W7_BEL_FS11-13_Gap0.14_Fav0.33_all_late,11-13,0.14,0.33,all,late,127,34,39.93,26.77,627.23,5.42,167.75,100,27,6/13
K1W7_BEL_FS10-13_Gap0.18_Fav0.33_all_late,10-13,0.18,0.33,all,late,164,51,39.89,31.1,539.82,9.95,173.63,134,30,8/13
K1W7_BEL_FS11-14_Gap0.12_Fav0.30_fast_midlate,11-14,0.12,0.3,fast,midlate,191,43,39.85,22.51,745.44,26.67,105.36,159,32,9/13
K1W7_BEL_FS10-13_Gap0.05_Fav0.35_fast_midlate,10-13,0.05,0.35,fast,midlate,217,64,39.84,29.49,568.99,30.37,90.84,183,34,9/13
K1W7_BEL_FS10-13_Gap0.08_Fav0.35_fast_midlate,10-13,0.08,0.35,fast,midlate,217,64,39.84,29.49,568.99,30.37,90.84,183,34,9/13
