variant,test_year,rule_id,score,qualifies,selected,train_roi,train_races,pos_year_ratio,test_roi,test_profit
sqrt_cost|strict,2017,CD_CORE_K8,0.2389,False,False,0.71,198,0.43,59.3,5603.7
sqrt_cost|strict,2017,CD_REFINED_K9,0.8931,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt_cost|strict,2018,CD_CORE_K8,1.2851,True,False,11.56,243,0.5,-37.62,-2686.4
sqrt_cost|strict,2018,CD_REFINED_K9,0.4779,True,False,4.65,89,0.62,869.41,29212.3
sqrt_cost|strict,2019,CD_CORE_K8,0.7893,False,False,5.52,277,0.44,-13.09,-1429.0
sqrt_cost|strict,2019,CD_REFINED_K9,1.8205,True,False,92.0,99,0.67,11.64,352.1
sqrt_cost|strict,2020,CD_CORE_K8,0.4857,False,False,2.58,329,0.4,-16.34,-1166.6
sqrt_cost|strict,2020,CD_REFINED_K9,2.1454,True,True,85.3,108,0.7,-73.78,-3222.8
sqrt_cost|strict,2022,CD_CORE_K8,0.2474,False,False,0.81,363,0.36,32.23,2233.8
sqrt_cost|strict,2022,CD_REFINED_K9,1.9945,True,False,68.21,121,0.64,80.95,2719.9
sqrt_cost|strict,2023,CD_CORE_K8,0.5834,False,False,3.43,396,0.42,55.92,3405.58
sqrt_cost|strict,2023,CD_REFINED_K9,2.4868,True,True,69.19,131,0.67,-8.53,-114.6
sqrt_cost|strict,2024,CD_CORE_K8,0.9237,False,False,7.01,425,0.46,45.65,3930.4
sqrt_cost|strict,2024,CD_REFINED_K9,2.3663,True,True,66.88,135,0.62,-14.54,-586.1
sqrt_cost|strict,2025,CD_CORE_K8,1.2195,True,False,10.41,466,0.5,78.21,3120.61
sqrt_cost|strict,2025,CD_REFINED_K9,2.3407,True,False,60.24,147,0.57,-61.12,-821.45
sqrt_cost|relaxed_n150,2015,CD_CORE_K8,1.0525,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt_cost|relaxed_n150,2015,CD_REFINED_K9,0.0,False,False,-10.5,57,0.6,90.41,2430.3
sqrt_cost|relaxed_n150,2016,CD_CORE_K8,0.4224,True,False,2.22,171,0.5,-8.87,-503.1
sqrt_cost|relaxed_n150,2016,CD_REFINED_K9,0.1794,True,False,1.92,65,0.67,179.28,5421.3
sqrt_cost|relaxed_n150,2017,CD_CORE_K8,0.2389,True,False,0.71,198,0.43,59.3,5603.7
sqrt_cost|relaxed_n150,2017,CD_REFINED_K9,0.8931,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt_cost|relaxed_n150,2018,CD_CORE_K8,1.2851,True,False,11.56,243,0.5,-37.62,-2686.4
sqrt_cost|relaxed_n150,2018,CD_REFINED_K9,0.4779,True,False,4.65,89,0.62,869.41,29212.3
sqrt_cost|relaxed_n150,2019,CD_CORE_K8,0.7893,True,False,5.52,277,0.44,-13.09,-1429.0
sqrt_cost|relaxed_n150,2019,CD_REFINED_K9,1.8205,True,False,92.0,99,0.67,11.64,352.1
sqrt_cost|relaxed_n150,2020,CD_CORE_K8,0.4857,True,False,2.58,329,0.4,-16.34,-1166.6
sqrt_cost|relaxed_n150,2020,CD_REFINED_K9,2.1454,True,True,85.3,108,0.7,-73.78,-3222.8
sqrt_cost|relaxed_n150,2022,CD_CORE_K8,0.2474,True,False,0.81,363,0.36,32.23,2233.8
sqrt_cost|relaxed_n150,2022,CD_REFINED_K9,1.9945,True,False,68.21,121,0.64,80.95,2719.9
sqrt_cost|relaxed_n150,2023,CD_CORE_K8,0.5834,True,False,3.43,396,0.42,55.92,3405.58
