variant,test_year,rule_id,score,races_factor,qualifies,selected,train_roi,train_races,pos_year_ratio,test_roi,test_profit
sqrt_r250,2025,CD_CORE_K8,1.6132,1.0,True,False,10.41,466,0.5,78.21,3120.61
sqrt_r250,2025,CD_REFINED_K9,2.3501,0.588,True,True,60.24,147,0.57,-61.12,-821.45
sqrt_r300,2015,CD_CORE_K8,0.6961,0.47,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt_r300,2015,CD_REFINED_K9,0.0,0.19,False,False,-10.5,57,0.6,90.41,2430.3
sqrt_r300,2016,CD_CORE_K8,0.3185,0.57,True,False,2.22,171,0.5,-8.87,-503.1
sqrt_r300,2016,CD_REFINED_K9,0.1501,0.2167,True,False,1.92,65,0.67,179.28,5421.3
sqrt_r300,2017,CD_CORE_K8,0.2086,0.66,False,False,0.71,198,0.43,59.3,5603.7
sqrt_r300,2017,CD_REFINED_K9,0.7472,0.2467,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt_r300,2018,CD_CORE_K8,1.377,0.81,True,True,11.56,243,0.5,-37.62,-2686.4
sqrt_r300,2018,CD_REFINED_K9,0.3998,0.2967,True,False,4.65,89,0.62,869.41,29212.3
sqrt_r300,2019,CD_CORE_K8,0.9641,0.9233,False,False,5.52,277,0.44,-13.09,-1429.0
sqrt_r300,2019,CD_REFINED_K9,1.5231,0.33,True,True,92.0,99,0.67,11.64,352.1
sqrt_r300,2020,CD_CORE_K8,0.6425,1.0,False,False,2.58,329,0.4,-16.34,-1166.6
sqrt_r300,2020,CD_REFINED_K9,1.7949,0.36,True,True,85.3,108,0.7,-73.78,-3222.8
sqrt_r300,2022,CD_CORE_K8,0.3272,1.0,False,False,0.81,363,0.36,32.23,2233.8
sqrt_r300,2022,CD_REFINED_K9,1.6687,0.4033,True,True,68.21,121,0.64,80.95,2719.9
sqrt_r300,2023,CD_CORE_K8,0.7717,1.0,False,False,3.43,396,0.42,55.92,3405.58
sqrt_r300,2023,CD_REFINED_K9,2.0806,0.4367,True,True,69.19,131,0.67,-8.53,-114.6
sqrt_r300,2024,CD_CORE_K8,1.2219,1.0,False,False,7.01,425,0.46,45.65,3930.4
sqrt_r300,2024,CD_REFINED_K9,1.9798,0.45,True,True,66.88,135,0.62,-14.54,-586.1
sqrt_r300,2025,CD_CORE_K8,1.6132,1.0,True,False,10.41,466,0.5,78.21,3120.61
sqrt_r300,2025,CD_REFINED_K9,1.9584,0.49,True,True,60.24,147,0.57,-61.12,-821.45
