Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay,CostPerRace
K1W8_FavVStr+MidLate+Wet,409,85890,-15081.0,-17.56,201,49.14,352.0,210.0
K1W8_FS10-11+MidLate,13688,2874480,-507248.0,-17.65,3045,22.25,777.0,210.0
K1W8_FS10-12+FS10-11+MidLate,13688,2874480,-507248.0,-17.65,3045,22.25,777.0,210.0
K1W8_route_long_FavStr,828,173880,-30735.0,-17.68,332,40.1,431.0,210.0
K1W_DynK_FavProb_CD,9020,1516926,-268677.0,-17.71,2506,27.78,498.0,168.0
K1W8_route_mid_FavStr,6305,1324050,-234668.0,-17.72,2491,39.51,437.0,210.0
K1W8_FavStr+Route,7133,1497930,-265403.0,-17.72,2823,39.58,437.0,210.0
K1W8_BigPool+Gap15+Wet,1720,361200,-64226.0,-17.78,615,35.76,483.0,210.0
K1W8_Gap15+MidLate,11401,2394210,-426877.0,-17.83,4123,36.16,477.0,210.0
K1W8_FS10-11+Dirt+Wet,1451,304710,-54512.0,-17.89,324,22.33,772.0,210.0
K1W8_FS10-12+MidLate,19107,4012470,-718856.0,-17.92,3936,20.6,837.0,210.0
K1W8_MTH_FS10-12,1439,302190,-54314.0,-17.97,345,23.97,718.0,210.0
K1W8_AQU_FS10-11,1328,278880,-50148.0,-17.98,322,24.25,710.0,210.0
K1W8_DMR_FS8-9,1965,412650,-74304.0,-18.01,617,31.4,548.0,210.0
K1W8_BigPool+Dirt+Gap15,7900,1659000,-299179.0,-18.03,3023,38.27,450.0,210.0
K1W8_SA_FS12-20,632,132720,-23972.0,-18.06,109,17.25,998.0,210.0
K1W8_KEE+Turf,1018,213780,-38637.0,-18.07,216,21.22,811.0,210.0
K1W8_FavVStr+Sprint+Wet,360,75600,-13679.0,-18.09,178,49.44,348.0,210.0
K1W8_FS10-12+FS10-11+BigPool,14813,3110730,-566769.0,-18.22,3346,22.59,760.0,210.0
K1W8_FS10-11+BigPool,14813,3110730,-566769.0,-18.22,3346,22.59,760.0,210.0
K1W8_KEE+FavVStr+BigPool,211,44310,-8098.0,-18.27,93,44.08,389.0,210.0
K1W8_FS10-11+Sprint+MidLate,6503,1365630,-249871.0,-18.3,1445,22.22,772.0,210.0
K1W8_Gap15+Dirt,10670,2240700,-412684.0,-18.42,4080,38.24,448.0,210.0
K1W8_InsidePP+FavStr+MedField,5032,1056720,-194916.0,-18.45,1740,34.58,495.0,210.0
K1W8_FavStr+MidLate,10558,2217180,-409086.0,-18.45,4068,38.53,444.0,210.0
K1W8_MidLate+BigPool+Gap15,9642,2024820,-373951.0,-18.47,3447,35.75,479.0,210.0
K1W8_MidLate+Dirt+Wet,3580,751800,-140428.0,-18.68,1011,28.24,605.0,210.0
K1W8_FavVStr+Gap15+Wet,630,132300,-24824.0,-18.76,308,48.89,349.0,210.0
K1W8_SA_FS10-12,2554,536340,-101164.0,-18.86,558,21.85,780.0,210.0
K1W8_FavVStr+Wet,631,132510,-25034.0,-18.89,308,48.81,349.0,210.0
K1W8_Gap15+BigPool,12995,2728950,-516148.0,-18.91,4768,36.69,464.0,210.0
K1W8_FS10-12+BigPool,20985,4406850,-834576.0,-18.94,4386,20.9,814.0,210.0
K1W8_Wet+MidLate,5993,1258530,-238424.0,-18.94,1562,26.06,653.0,210.0
K1W8_FavVStr+Gap15+CD,434,91140,-17348.0,-19.03,213,49.08,346.0,210.0
K1W8_CD+FavVStr,434,91140,-17348.0,-19.03,213,49.08,346.0,210.0
K1W8_Sprint+BigPool+Wet,3006,631260,-120419.0,-19.08,814,27.08,628.0,210.0
