Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay,CostPerRace
Key1Win8_TrackKEE,3044,639240,-86292.0,-13.5,736,24.18,751.0,210.0
Key1Win8_TrackCD,5810,1220100,-191502.0,-15.7,1476,25.4,697.0,210.0
Key1Win8_Muddy+FavStr,2026,425460,-67285.0,-15.81,767,37.86,467.0,210.0
Key1Win-8_FS10-11,17867,3752070,-624475.0,-16.64,4022,22.51,778.0,210.0
Key1Win-9_FS12-20,7897,2653392,-448689.0,-16.91,1603,20.3,1375.0,336.0
Key1Win-8_FS10-12,24991,5248110,-930411.0,-17.73,5198,20.8,831.0,210.0
Key1Win8_FavStr+MedField,7995,1678950,-301188.0,-17.94,2859,35.76,482.0,210.0
Key1Win-10_FS12-20,7897,3980088,-719383.0,-18.07,1862,23.58,1751.0,504.0
Key1Win-7_FS10-11,17867,2144040,-387868.0,-18.09,3039,17.01,578.0,120.0
Key1Win8_FavProb>=0.50,2305,484050,-87989.0,-18.18,1251,54.27,317.0,210.0
Key1Win-9_FS10-12,24991,8396976,-1599554.0,-19.05,6300,25.21,1079.0,336.0
Key1Win8_Dirt+FavStr,10563,2218230,-423665.0,-19.1,4241,40.15,423.0,210.0
Key1Win8_OddsGap>=0.15,16616,3489360,-672411.0,-19.27,6155,37.04,458.0,210.0
Key1Win8_MinHarv>=150,24353,5114130,-1016363.0,-19.87,4619,18.97,887.0,210.0
Key1Win8_FavProb>=0.35,15855,3329550,-666541.0,-20.02,6223,39.25,428.0,210.0
Key1Win8_OddsGap>=0.10,25244,5301240,-1079318.0,-20.36,8506,33.7,496.0,210.0
Key1Win-9_FS10-11,17867,6003312,-1227684.0,-20.45,4823,26.99,990.0,336.0
Key1Win8_OddsGap>=0.20,10787,2265270,-465171.0,-20.53,4343,40.26,414.0,210.0
Key1Win8_MinHarv>=100,36806,7729260,-1593887.0,-20.62,8034,21.83,764.0,210.0
Key1Win8_HighPurse>=200K,2092,439320,-90870.0,-20.68,536,25.62,650.0,210.0
Key1Win8_HighPurse>=500K,715,150150,-31783.0,-21.17,159,22.24,744.0,210.0
Key1Win8_FavProb>=0.40,8997,1889370,-400080.0,-21.18,3894,43.28,382.0,210.0
Key1Win8_MinHarv>=80,42866,9001860,-1933658.0,-21.48,9914,23.13,713.0,210.0
Key1Win8_Turf+FavStr,5292,1111320,-242876.0,-21.85,1982,37.45,438.0,210.0
Key1Win8_MinHarv>=50,52030,10926300,-2396507.0,-21.93,13187,25.34,647.0,210.0
Key1Win-7_FS8-9,30937,3712440,-816441.0,-21.99,8074,26.1,359.0,120.0
Key1Win-10_FS10-12,24991,12595464,-2780679.0,-22.08,7104,28.43,1382.0,504.0
Key1Win8_MinHarv>=30,55888,11736480,-2592708.0,-22.09,14862,26.59,615.0,210.0
Key1Win8_MinHarv>=200,16268,3416280,-755691.0,-22.12,2730,16.78,975.0,210.0
Key1Win-8_FS12-20,7897,1658370,-367347.0,-22.15,1274,16.13,1013.0,210.0
Key1Win-5_FS6-7,33304,799296,-177667.0,-22.23,6937,20.83,90.0,24.0
Key1Win8_FavProb>=0.45,4889,1026690,-228900.0,-22.29,2353,48.13,339.0,210.0
Key1Win8_Muddy,7785,1634850,-364801.0,-22.31,2054,26.38,618.0,210.0
Key1Win-6_FS8-9,30937,1856220,-414801.0,-22.35,5653,18.27,255.0,60.0
Key2-Exacta-Box8,56701,3402060,-762654.0,-22.42,7436,13.11,355.0,60.0
Key1Win-6_FS10-11,17867,1072020,-243241.0,-22.69,2031,11.37,408.0,60.0
Key1Win-Key2Place-8,56701,1701030,-386251.0,-22.71,4283,7.55,307.0,30.0
Key1Win-5_FS6-8,50800,1219200,-278722.0,-22.86,8988,17.69,105.0,24.0
Key1Win8_FavStr+SmallField,6468,1358280,-311512.0,-22.93,3017,46.65,347.0,210.0
Key1Win-5_FS6-9,64241,1541784,-359474.0,-23.32,10139,15.78,117.0,24.0
Key1Win8_Pool>=100K,15250,3202500,-755912.0,-23.6,3761,24.66,651.0,210.0
