Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay,CostPerRace
Key1Win-6_FS6-7,33304,1998240,-475611.0,-23.8,11224,33.7,136.0,60.0
Key2-Exacta-Box7,75458,3018320,-720432.0,-23.87,9909,13.13,232.0,40.0
Key1Win-10_FS10-11,17867,9004968,-2156044.0,-23.94,5394,30.19,1270.0,504.0
Key1Win-Key2Place-7,75458,1509160,-361422.0,-23.95,5751,7.62,200.0,20.0
Key1Win8_Pool>=200K,1337,280770,-67944.0,-24.2,287,21.47,742.0,210.0
Key1Win-5_FS8-9,30937,742488,-181807.0,-24.49,3202,10.35,175.0,24.0
Key2-Exacta-Box6,90005,2160120,-534543.0,-24.75,11060,12.29,147.0,24.0
Key1Win-Key2Place-6,90005,1080060,-269436.0,-24.95,6456,7.17,126.0,12.0
Key1Win-7_FS12-20,7897,947640,-241024.0,-25.43,936,11.85,755.0,120.0
Key1Win8_Pool<30K,2863,601230,-153464.0,-25.53,821,28.68,545.0,210.0
Key1Win-8_FS8-9,30937,6496770,-1666776.0,-25.66,9987,32.28,484.0,210.0
Key1Win8_VeryStrFav+SmallField,2233,468930,-120805.0,-25.76,1239,55.49,281.0,210.0
Key1Win8_TrackSA,6547,1374870,-356016.0,-25.89,1816,27.74,561.0,210.0
Key1Win8_TrackSAR,3220,676200,-175601.0,-25.97,800,24.84,626.0,210.0
Key1Win8_TrackGP,14494,3043740,-811851.0,-26.67,3965,27.36,563.0,210.0
Key1Win-Key2Place-5,90005,540030,-144890.0,-26.83,4171,4.63,95.0,6.0
FavAnyTop4-8,56701,47628840,-12901161.0,-27.09,35589,62.77,976.0,840.0
Key2-Exacta-Box5,90005,1080060,-299544.0,-27.73,7092,7.88,110.0,12.0
FavAnyTop4-7,75458,36219840,-10169350.0,-28.08,44203,58.58,589.0,480.0
FavAnyTop4-6,90005,21601200,-6077009.0,-28.13,45041,50.04,345.0,240.0
FavAnyTop4-5,90005,8640480,-2469834.0,-28.58,27142,30.16,227.0,96.0
Key1Win-5_FS10-11,17867,428808,-124153.0,-28.95,1099,6.15,277.0,24.0
ChalkStraight-12,90004,1080048,-314097.0,-29.08,8385,9.32,91.0,12.0
Key1Win-7_FS6-7,18757,2250840,-655506.0,-29.12,6972,37.17,229.0,120.0
Key1Win-9_FS8-9,13441,4516176,-1319236.0,-29.21,4399,32.73,727.0,336.0
ChalkStraight-10,90004,900040,-263325.0,-29.26,7284,8.09,87.0,10.0
ChalkStraight-2,90004,180008,-53569.0,-29.76,1851,2.06,68.0,2.0
ChalkStraight-5,90004,450020,-134510.0,-29.89,4117,4.57,77.0,5.0
Key1Win-4_FS6-7,33304,199824,-59906.0,-29.98,2558,7.68,55.0,6.0
ChalkStraight-4,90004,360016,-108181.0,-30.05,3407,3.79,74.0,4.0
ChalkStraight-6,90004,540024,-165355.0,-30.62,4779,5.31,78.0,6.0
Key1Win-4_FS6-8,50800,304800,-94065.0,-30.86,3283,6.46,64.0,6.0
Key1Win-6_FS12-20,7897,473820,-147271.0,-31.08,603,7.64,542.0,60.0
ChalkStraight-3,90004,270012,-85176.0,-31.55,2631,2.92,70.0,3.0
Key1Win-4_FS6-9,64241,385446,-122677.0,-31.83,3650,5.68,72.0,6.0
Key1Win-5_FS12-20,7897,189528,-61663.0,-32.53,327,4.14,391.0,24.0
ChalkStraight-1,90004,90004,-29936.0,-33.26,949,1.05,63.0,1.0
